method,n_ris,seed,step,reward,environment_reward,sum_rate,qos_fraction,all_qos,violation,qos_dual,qos_violation_ema,qos_dual_updated,exploration_noise,critic_loss,actor_loss
ddpg,16,0,1,-0.9969849237373928,-0.9969849237373928,2.0331190272328348,0.25,False,0.3081819659139079,8.0,0.3081819659139079,False,0.0,,
ddpg,16,0,1000,-6.220787743587422,-6.220787743587422,1.8085104225900983,0.5,False,0.7096916730328673,8.0,0.733046398746803,False,0.0,0.2427055984735489,-3.6757493019104
ddpg,16,0,2000,-5.000581539482994,-5.000581539482994,1.7982874939045246,0.25,False,0.592472066812664,8.0,0.6869514608109436,False,0.0,2.889871835708618,-39.98941802978516
ddpg,16,0,3000,-5.4209375220302825,-5.4209375220302825,2.5845017083167137,0.5,False,0.7075873824435923,22.5729495592366,0.7296474779618299,True,0.1173,2.396360397338867,-36.33898162841797
ddpg,16,0,4000,-0.3315695821218585,1.164203781089722,2.0285072332507865,0.5,False,0.1026403994010624,25.748027465640508,0.1597538953201954,True,0.1163999999999999,1.3910815715789795,-0.7970441579818726
ddpg,16,0,5000,-8.251615097434101,0.6223986353861539,6.622398635386154,0.75,False,0.5,40.016510672226346,0.7144241603292921,True,0.1154999999999999,7.768526554107666,-4.79724645614624
ddpg,16,0,6000,-14.022304115650313,2.2658845298384835,7.785851028189709,0.5,False,0.5087434046839607,47.528065716156576,0.3765777521965113,True,0.1146,14.729402542114258,-1.8433817625045776
ddpg,16,0,7000,13.946538866223989,13.946538866223989,13.946538866223989,1.0,True,0.0,49.238768848278575,0.0865351566060998,True,0.1137,16.337665557861328,-51.00379943847656
ddpg,16,0,8000,-42.427228313463885,-7.162078823360324,2.6881124110671704,0.5,False,0.8551455456841466,64.0,0.7618243116760958,True,0.1128,48.15862274169922,-38.65472030639648
ddpg,16,0,9000,-3.9490673762457367,1.2118797687193985,1.9832167690122016,0.5,False,0.0921597704458059,64.0,0.1525867591306991,True,0.1119,13.588237762451172,-4.755919456481934
ddpg,16,0,10000,-12.042608440919755,0.1074728115703848,2.0456228272517025,0.5,False,0.2169657366516096,64.0,0.1562433101811317,True,0.111,11.761472702026367,25.35460662841797
ddpg,16,0,11000,-13.185980897564644,-0.1304102091800484,1.9779693667658236,0.5,False,0.2331351908640106,64.0,0.1590279657387785,True,0.1101,18.516376495361328,36.52734375
ddpg,16,0,12000,-8.55613362618737,0.5771873927020341,1.99151111575034,0.5,False,0.1630950181944536,64.0,0.1985312444854676,True,0.1091999999999999,16.11210823059082,26.718090057373047
ddpg,16,0,13000,-20.45245933474493,-1.4153901243359337,2.224750019616363,0.5,False,0.3399476644715891,64.0,0.1992480072612892,True,0.1083,17.676448822021484,34.834922790527344
ddpg,16,0,14000,-4.740969482408544,1.0619036126494636,1.976786851120373,0.75,False,0.1036227338403215,64.0,0.1658391348714599,True,0.1074,21.185535430908203,57.90148162841797
ddpg,16,0,15000,-3.974255146282848,1.2324693161426137,2.011382958945612,0.5,False,0.0929772225433118,64.0,0.1936577009001089,True,0.1065,36.29445266723633,56.47564315795898
