n_ris,seed,scenario,bank_checksum,checkpoint_step,actor_repeats,decode_repeats,end_to_end_repeats,td3_actor_ms,td3_decode_ms,td3_decision_ms,td3_end_to_end_ms,td3_sum_rate,td3_qos_fraction,td3_all_qos,td3_violation,ao_sca_end_to_end_ms,ao_sca_iterations,ao_sca_evaluations,ao_sca_sum_rate,ao_sca_qos_fraction,ao_sca_all_qos,ao_sca_violation,ao_grid_end_to_end_ms,ao_grid_iterations,ao_grid_evaluations,ao_grid_sum_rate,ao_grid_qos_fraction,ao_grid_all_qos,ao_grid_violation,analytical_ris_end_to_end_ms,analytical_ris_iterations,analytical_ris_evaluations,analytical_ris_sum_rate,analytical_ris_qos_fraction,analytical_ris_all_qos,analytical_ris_violation
64,0,12,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae,95000,100,100,20,0.20449894000000002,0.06490106,0.26940000000000003,0.5475453,12.373186762576157,1.0,1.0,0.0,907.746421,9,3651,17.793586292946323,1.0,1.0,0.0,540.14616,2,2815,3.9820344673679333,1.0,1.0,0.0,0.23455,0,1,1.9820629019319325,0.0,0.0,0.01793709806806748
64,0,13,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae,95000,100,100,20,0.22499783,0.06526696,0.29026479,0.5367529,12.846107264028582,1.0,1.0,0.0,961.992326,9,3671,18.27554230445647,1.0,1.0,0.0,519.913824,2,2815,3.9820491646121536,1.0,1.0,0.0,0.23274,0,1,1.982067117722237,0.0,0.0,0.017932882277763018
64,0,14,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae,95000,100,100,20,0.20427751,0.06640437,0.27068188,0.5694151,11.884818968076903,1.0,1.0,0.0,1597.618981,13,5278,17.751830203938383,1.0,1.0,0.0,608.899051,2,2815,3.9820284252394895,1.0,1.0,0.0,0.318672,0,1,1.9820582343680313,0.0,0.0,0.017941765631968642
64,0,15,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae,95000,100,100,20,0.22994167000000001,0.07671674,0.30665841000000005,0.63324075,12.195834295399596,1.0,1.0,0.0,1020.155235,9,3661,17.76834643840386,1.0,1.0,0.0,543.560896,2,2815,3.98203718147461,1.0,1.0,0.0,0.2584,0,1,1.9820609015299802,0.0,0.0,0.017939098470019954
64,0,16,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae,95000,100,100,20,0.22605892,0.07004587,0.29610479,0.592133,10.389831484411562,1.0,1.0,0.0,801.392732,7,2844,17.599082600836997,1.0,1.0,0.0,588.844346,2,2815,3.982040734351272,1.0,1.0,0.0,0.255523,0,1,1.9820568894297586,0.0,0.0,0.017943110570241505
64,0,17,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae,95000,100,100,20,0.23640939,0.07321586,0.30962524999999996,0.57813305,12.325585927680029,1.0,1.0,0.0,2104.034574,20,8129,17.830343417912754,1.0,1.0,0.0,560.000493,2,2815,3.9820349991133486,1.0,1.0,0.0,0.261743,0,1,1.9820615717657362,0.0,0.0,0.017938428234263726
64,0,18,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae,95000,100,100,20,0.21139122,0.07117392,0.28256514,0.56507175,10.10364222894607,1.0,1.0,0.0,633.848173,6,2435,17.5915731999765,1.0,1.0,0.0,535.421898,2,2815,3.982033891161359,1.0,1.0,0.0,0.273434,0,1,1.9820573227082845,0.0,0.0,0.017942677291715503
64,0,19,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae,95000,100,100,20,0.23317886000000002,0.08678174999999999,0.31996061,0.6749657499999999,12.497667210563872,1.0,1.0,0.0,654.446336,6,2441,17.911169132177157,1.0,1.0,0.0,564.42054,2,2815,3.982040550497689,1.0,1.0,0.0,0.253842,0,1,1.9820627797988324,0.0,0.0,0.017937220201167725
64,0,20,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae,95000,100,100,20,0.21555088,0.07672784,0.29227872,0.61135035,9.476390389712218,1.0,1.0,0.0,862.743051,8,3244,17.789209971501272,1.0,1.0,0.0,538.386881,2,2815,3.9820337725319392,1.0,1.0,0.0,0.231895,0,1,1.9820578006221203,0.0,0.0,0.017942199377879775
64,0,21,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae,95000,100,100,20,0.21556884,0.07892473,0.29449357,0.5550853,6.909296211567935,1.0,1.0,0.0,2125.510134,20,8137,17.488938733155354,1.0,1.0,0.0,540.410657,2,2815,3.9820208822922423,1.0,1.0,0.0,0.232297,0,1,1.9820514906652644,0.0,0.0,0.01794850933473574
64,0,22,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae,95000,100,100,20,0.20249364,0.07064657,0.27314021,0.5598722,12.733662724971586,1.0,1.0,0.0,2041.265443,18,7321,17.72113282751102,1.0,1.0,0.0,553.728371,2,2815,3.982024116620269,1.0,1.0,0.0,0.245767,0,1,1.9820570634720254,0.0,0.0,0.01794293652797463
64,0,23,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae,95000,100,100,20,0.22506048,0.06709084,0.29215132,0.5394156999999999,12.10695054206284,1.0,1.0,0.0,2232.265309,20,8126,17.781057704736007,1.0,1.0,0.0,531.924489,2,2815,3.982030178277596,1.0,1.0,0.0,0.270924,0,1,1.9820467617206974,0.0,0.0,0.017953238279302453
64,0,24,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae,95000,100,100,20,0.22292874000000001,0.06996698999999999,0.29289573,0.5894921,11.154135530255086,1.0,1.0,0.0,1743.302891,17,6904,17.66157843893702,1.0,1.0,0.0,525.019724,2,2815,3.982025642383595,1.0,1.0,0.0,0.254691,0,1,1.9820582889828342,0.0,0.0,0.017941711017165796
64,0,25,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae,95000,100,100,20,0.21220113000000002,0.06453166,0.27673279,0.5358938,13.370836665628648,1.0,1.0,0.0,1756.471825,17,6917,17.73979173038848,1.0,1.0,0.0,545.830051,2,2815,3.982026798171397,1.0,1.0,0.0,0.309072,0,1,1.9820565416143565,0.0,0.0,0.017943458385643485
64,0,26,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae,95000,100,100,20,0.23122122,0.07623872000000001,0.30745994,0.5679538,11.747780478740925,1.0,1.0,0.0,1481.093752,14,5696,18.174098139182117,1.0,1.0,0.0,531.2693,2,2815,3.9820439079130603,1.0,1.0,0.0,0.279595,0,1,1.982065014090821,0.0,0.0,0.017934985909179135
64,0,27,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae,95000,100,100,20,0.20685130999999998,0.0658139,0.27266521,0.53433655,11.018570146072019,1.0,1.0,0.0,1390.094255,13,5316,17.48505539988514,1.0,1.0,0.0,540.556142,2,2815,3.982015349161095,1.0,1.0,0.0,0.272647,0,1,1.9820339436521162,0.0,0.0,0.01796605634788373
64,0,28,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae,95000,100,100,20,0.21877203,0.06966327,0.2884353,0.5823214,12.576568739775812,1.0,1.0,0.0,1615.351001,15,6104,17.73735983790131,1.0,1.0,0.0,526.945401,2,2815,3.982035987503279,1.0,1.0,0.0,0.236169,0,1,1.9820614609702778,0.0,0.0,0.017938539029722422
64,0,29,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae,95000,100,100,20,0.20307065000000002,0.06446433,0.26753498000000003,0.5499357,11.458953284339717,1.0,1.0,0.0,2039.506409,20,8115,17.647568286614238,1.0,1.0,0.0,536.638612,2,2815,3.9820199570632786,1.0,1.0,0.0,0.236357,0,1,1.9820557568005646,0.0,0.0,0.01794424319943544
64,0,30,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae,95000,100,100,20,0.21615726999999998,0.07439628,0.29055355,0.5898881,12.378890314414566,1.0,1.0,0.0,2116.42762,20,8130,17.819593166760857,1.0,1.0,0.0,570.277605,2,2815,3.9820302716128158,1.0,1.0,0.0,0.256736,0,1,1.9820616182768958,0.0,0.0,0.017938381723104413
64,0,31,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae,95000,100,100,20,0.22485289000000003,0.07500091,0.29985380000000006,0.6295052,11.95397449668716,1.0,1.0,0.0,538.895651,5,2038,17.548349006836343,1.0,1.0,0.0,542.589876,2,2815,3.9820344377923784,1.0,1.0,0.0,0.272273,0,1,1.9820634213049133,0.0,0.0,0.017936578695086802
64,0,32,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae,95000,100,100,20,0.21580234999999998,0.07480507,0.29060741999999995,0.57545495,13.308646261815413,1.0,1.0,0.0,1534.925248,15,6108,17.965336793286923,1.0,1.0,0.0,572.494356,2,2815,3.982042960893547,1.0,1.0,0.0,0.23481,0,1,1.9820595816334408,0.0,0.0,0.01794041836655924
64,0,33,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae,95000,100,100,20,0.21524861,0.07820979,0.2934584,0.5749351,10.856097847821648,1.0,1.0,0.0,622.151629,6,2437,17.933341294021467,1.0,1.0,0.0,545.438862,2,2815,3.9820400723750975,1.0,1.0,0.0,0.256473,0,1,1.9820607348146093,0.0,0.0,0.01793926518539085
64,0,34,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae,95000,100,100,20,0.22897725000000002,0.07565964,0.30463689000000005,0.60650995,12.478819131782766,1.0,1.0,0.0,737.466737,7,2849,17.832697877607835,1.0,1.0,0.0,536.938583,2,2815,3.98204123651482,1.0,1.0,0.0,0.257641,0,1,1.9820628669987395,0.0,0.0,0.017937133001260763
64,0,35,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae,95000,100,100,20,0.20700346,0.06911386,0.27611732,0.5565287999999999,11.383507651251655,1.0,1.0,0.0,1888.082929,18,7317,18.121201385238955,1.0,1.0,0.0,559.192764,2,2815,3.9820397326976815,1.0,1.0,0.0,0.263401,0,1,1.9820621622726944,0.0,0.0,0.017937837727305506
64,0,36,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae,95000,100,100,20,0.22745355,0.0743894,0.30184295,0.5609199,13.379704034014969,1.0,1.0,0.0,1355.498979,13,5276,17.883687015335934,1.0,1.0,0.0,538.083194,2,2815,3.982034172017838,1.0,1.0,0.0,0.259358,0,1,1.9820615079296802,0.0,0.0,0.01793849207032
64,0,37,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae,95000,100,100,20,0.21383265,0.07058906999999999,0.28442172,0.5502076,10.742534143909594,1.0,1.0,0.0,2099.27897,20,8121,18.436333334370456,1.0,1.0,0.0,541.819159,2,2815,3.982043423823194,1.0,1.0,0.0,0.25805,0,1,1.9820648894130728,0.0,0.0,0.017935110586927094
