step,reward,environment_reward,sum_rate,qos_fraction,all_qos,violation,qos_dual,qos_violation_ema,qos_dual_updated,exploration_noise,critic_loss,actor_loss,effective_target_noise,n_ris,seed
1,-0.9718869714098,-0.9718869714098,2.035779063353856,0.25,False,0.3058034836238187,8.0,0.3058034836238187,False,0.0,,,,96,0
1000,-9.964574602567309,-9.964574602567309,2.035425397432693,0.5,False,1.0,8.0,0.7462672441209242,False,0.0,0.1472760438919067,0.0,0.0696310623822791,96,0
2000,-7.120270784866959,-7.120270784866959,2.484520590416429,0.5,False,0.8439660396341926,8.0,0.691685071542048,False,0.0,0.1543026566505432,0.0,0.0696310623822791,96,0
3000,8.00189969241871,8.00189969241871,8.00189969241871,1.0,True,0.0,8.514212204262451,0.0267106102131225,True,0.1173,0.5833115577697754,0.0,0.0696310623822791,96,0
4000,6.12101965586235,6.173953785438448,7.08226804524625,0.75,False,0.1029421883364733,9.085983781916768,0.0295885788827159,True,0.1163999999999999,0.7552410960197449,0.0,0.0696310623822791,96,0
5000,12.248376693916274,12.248376693916274,12.248376693916274,1.0,True,0.0,9.080785723232555,0.0007400970657894,True,0.1154999999999999,0.4978619217872619,0.0,0.0696310623822791,96,0
6000,12.635560608233256,12.635560608233256,12.635560608233256,1.0,True,0.0,9.480246052842231,0.0209730164804837,True,0.1146,1.7528173923492432,0.0,0.0696310623822791,96,0
7000,14.333938014500532,14.333938014500532,14.333938014500532,1.0,True,0.0,9.933583103955414,0.023666852555659,True,0.1137,1.103071928024292,0.0,0.0696310623822791,96,0
8000,8.719856287946634,8.719856287946634,8.719856287946634,1.0,True,0.0,10.241245441134105,0.0163831168589344,True,0.1128,2.2467827796936035,0.0,0.0696310623822791,96,0
9000,0.8067904062956508,1.9274131268627024,7.927413126862702,0.75,False,0.5,11.591145127880491,0.0684949843373193,True,0.1119,1.2261714935302734,0.0,0.0696310623822791,96,0
10000,8.02856067862084,8.02856067862084,8.02856067862084,1.0,True,0.0,12.702019597184732,0.056543723465212,True,0.111,1.0010108947753906,0.0,0.0696310623822791,96,0
11000,6.809670020942896,6.809670020942896,6.809670020942896,1.0,True,0.0,12.721169192738708,0.0019574797776988,True,0.1101,6.155805587768555,0.0,0.0696310623822791,96,0
12000,9.91519609566434,9.91519609566434,9.91519609566434,1.0,True,0.0,12.701170382650396,5.9495584388876616e-08,True,0.1091999999999999,2.276780843734741,0.0,0.0696310623822791,96,0
13000,10.61126288141778,10.61126288141778,10.61126288141778,1.0,True,0.0,12.682128127554275,4.7887245193978806e-05,True,0.1083,6.9394636154174805,0.0,0.0696310623822791,96,0
14000,5.806785691100369,5.806785691100369,5.806785691100369,1.0,True,0.0,12.663929767699312,9.00820072518534e-05,True,0.1074,8.942361831665039,0.0,0.0696310623822791,96,0
15000,7.895747867128292,7.895747867128292,7.895747867128292,1.0,True,0.0,12.756934993209972,0.005650261275533,True,0.1065,1.9884098768234253,0.0,0.0696310623822791,96,0
16000,3.103256829779501,5.481724326384487,11.481724326384487,0.75,False,0.5,13.574402352792024,0.0418733679791025,True,0.1056,4.122121810913086,0.0,0.0696310623822791,96,0
17000,6.201702636736701,6.201702636736701,6.201702636736701,1.0,True,0.0,13.90357235183078,0.0174584999519378,True,0.1046999999999999,10.793569564819336,0.0,0.0696310623822791,96,0
18000,2.961420897281818,5.902171508393558,11.872290616648566,0.75,False,0.4981306971193081,17.98818172789522,0.2052304688032219,True,0.1038,4.057858467102051,0.0,0.0696310623822791,96,0
19000,13.601192873641702,13.601192873641702,13.601192873641702,1.0,True,0.0,21.870027475994068,0.1950922874049423,True,0.1028999999999999,8.070024490356445,0.0,0.0696310623822791,96,0
20000,15.52126826148313,15.52126826148313,15.52126826148313,1.0,True,0.0,21.85027037192497,1.214479654514743e-05,True,0.102,9.381738662719728,0.0,0.0696310623822791,96,0
21000,8.818368863595575,8.818368863595575,8.818368863595575,1.0,True,0.0,22.07573672322679,0.0122733175650908,True,0.1011,5.570613861083984,0.0,0.0696310623822791,96,0
22000,6.71344869013631,6.71344869013631,6.71344869013631,1.0,True,0.0,22.05838151659973,0.0001322396686471,True,0.1002,7.099414348602295,0.0,0.0696310623822791,96,0
23000,1.0791020694082842,5.06123515416926,7.969165695101292,0.75,False,0.2832568656682839,22.995489673679405,0.0478554078539836,True,0.0993,6.403458595275879,0.0,0.0696310623822791,96,0
24000,-3.4664385590535574,4.031306277786145,10.031306277786143,0.75,False,0.5,24.13198368114101,0.0578247003730801,True,0.0984,14.135723114013672,0.0,0.0696310623822791,96,0
25000,6.3204943121438335,6.3204943121438335,6.3204943121438335,1.0,True,0.0,24.206472309444408,0.00472443141517,True,0.0975,14.692280769348145,0.0,0.0696310623822791,96,0
26000,6.005469692616707,6.005469692616707,6.005469692616707,1.0,True,0.0,24.36511607586644,0.0089321883211015,True,0.0965999999999999,3.4099910259246826,0.0,0.0696310623822791,96,0
27000,13.902891916471484,13.902891916471484,13.902891916471484,1.0,True,0.0,24.425859546728816,0.0040371735431188,True,0.0957,10.751644134521484,0.0,0.0696310623822791,96,0
28000,9.228489157399585,9.228489157399585,9.228489157399585,1.0,True,0.0,24.405859570481127,1.1876155765295063e-09,True,0.0948,16.86090087890625,0.0,0.0696310623822791,96,0
29000,7.369017448744926,7.369017448744926,7.369017448744926,1.0,True,0.0,24.38585957048117,2.1115064607380454e-15,True,0.0939,7.970717430114746,0.0,0.0696310623822791,96,0
30000,14.73504366215606,14.73504366215606,14.73504366215606,1.0,True,0.0,24.36585957048117,1.117371792094372e-37,True,0.093,20.73406791687012,0.0,0.0696310623822791,96,0
