method,seed,scenario,split,sum_rate,reward,qos_fraction,all_qos,violation,iterations,evaluations,accepted_steps,solver,initialization,objective_history,surrogate_records,grid,solve_ms,config_hash,git_commit,bank_checksum
ao_grid,10000,292,test,3.9820311909614383,3.9820311909614383,1.0,True,0.0,2,2815,0,ao_grid_coordinate_codebook,analytical_ris_equal_allocation,"[1.8378837047493555, 3.982024179512403, 3.9820311909614383]",[],"{""allocation_levels"": 7, ""beta_levels"": 5, ""phase_levels"": 8}",1098.384628,1a480db47c5efa1cc1a63abf6aef552d6bf21ecebd475a7bc99d509c20d9fb0d,fc61d5cda7da39530055bae9bd0e92865f995cd9,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae
ao_grid,10000,293,test,3.982041189301535,3.982041189301535,1.0,True,0.0,2,2815,0,ao_grid_coordinate_codebook,analytical_ris_equal_allocation,"[1.8378815091360714, 3.982036467181824, 3.982041189301535]",[],"{""allocation_levels"": 7, ""beta_levels"": 5, ""phase_levels"": 8}",1133.232763,1a480db47c5efa1cc1a63abf6aef552d6bf21ecebd475a7bc99d509c20d9fb0d,fc61d5cda7da39530055bae9bd0e92865f995cd9,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae
ao_grid,10000,294,test,3.9820310503165115,3.9820310503165115,1.0,True,0.0,2,2815,0,ao_grid_coordinate_codebook,analytical_ris_equal_allocation,"[1.8378703527726703, 3.982027127622089, 3.9820310503165115]",[],"{""allocation_levels"": 7, ""beta_levels"": 5, ""phase_levels"": 8}",1094.668401,1a480db47c5efa1cc1a63abf6aef552d6bf21ecebd475a7bc99d509c20d9fb0d,fc61d5cda7da39530055bae9bd0e92865f995cd9,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae
ao_grid,10000,295,test,3.9820471216772586,3.9820471216772586,1.0,True,0.0,2,2815,0,ao_grid_coordinate_codebook,analytical_ris_equal_allocation,"[1.8379269087517118, 3.982044002530272, 3.9820471216772586]",[],"{""allocation_levels"": 7, ""beta_levels"": 5, ""phase_levels"": 8}",1114.029802,1a480db47c5efa1cc1a63abf6aef552d6bf21ecebd475a7bc99d509c20d9fb0d,fc61d5cda7da39530055bae9bd0e92865f995cd9,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae
ao_grid,10000,296,test,3.9820263228229793,3.9820263228229793,1.0,True,0.0,2,2815,0,ao_grid_coordinate_codebook,analytical_ris_equal_allocation,"[1.8379086926511332, 3.982022381977383, 3.9820263228229793]",[],"{""allocation_levels"": 7, ""beta_levels"": 5, ""phase_levels"": 8}",1101.254931,1a480db47c5efa1cc1a63abf6aef552d6bf21ecebd475a7bc99d509c20d9fb0d,fc61d5cda7da39530055bae9bd0e92865f995cd9,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae
ao_grid,10000,297,test,3.982028747121979,3.982028747121979,1.0,True,0.0,2,2815,0,ao_grid_coordinate_codebook,analytical_ris_equal_allocation,"[1.8378588398976559, 3.9820205488515596, 3.982028747121979]",[],"{""allocation_levels"": 7, ""beta_levels"": 5, ""phase_levels"": 8}",1107.694417,1a480db47c5efa1cc1a63abf6aef552d6bf21ecebd475a7bc99d509c20d9fb0d,fc61d5cda7da39530055bae9bd0e92865f995cd9,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae
ao_grid,10000,298,test,3.9820334198319296,3.9820334198319296,1.0,True,0.0,2,2815,0,ao_grid_coordinate_codebook,analytical_ris_equal_allocation,"[1.8379141874992304, 3.9820302585414593, 3.9820334198319296]",[],"{""allocation_levels"": 7, ""beta_levels"": 5, ""phase_levels"": 8}",1140.100445,1a480db47c5efa1cc1a63abf6aef552d6bf21ecebd475a7bc99d509c20d9fb0d,fc61d5cda7da39530055bae9bd0e92865f995cd9,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae
ao_grid,10000,299,test,3.9820313060965837,3.9820313060965837,1.0,True,0.0,2,2815,0,ao_grid_coordinate_codebook,analytical_ris_equal_allocation,"[1.8378302681092427, 3.982022911302164, 3.9820313060965837]",[],"{""allocation_levels"": 7, ""beta_levels"": 5, ""phase_levels"": 8}",1104.70988,1a480db47c5efa1cc1a63abf6aef552d6bf21ecebd475a7bc99d509c20d9fb0d,fc61d5cda7da39530055bae9bd0e92865f995cd9,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae
ao_grid,10000,300,test,3.9820371181813536,3.9820371181813536,1.0,True,0.0,2,2815,0,ao_grid_coordinate_codebook,analytical_ris_equal_allocation,"[1.8379148020893799, 3.982034296199897, 3.9820371181813536]",[],"{""allocation_levels"": 7, ""beta_levels"": 5, ""phase_levels"": 8}",1099.960553,1a480db47c5efa1cc1a63abf6aef552d6bf21ecebd475a7bc99d509c20d9fb0d,fc61d5cda7da39530055bae9bd0e92865f995cd9,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae
ao_grid,10000,301,test,3.9820329420471587,3.9820329420471587,1.0,True,0.0,2,2815,0,ao_grid_coordinate_codebook,analytical_ris_equal_allocation,"[1.8378988865257087, 3.9820293603271644, 3.9820329420471587]",[],"{""allocation_levels"": 7, ""beta_levels"": 5, ""phase_levels"": 8}",1110.3966,1a480db47c5efa1cc1a63abf6aef552d6bf21ecebd475a7bc99d509c20d9fb0d,fc61d5cda7da39530055bae9bd0e92865f995cd9,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae
ao_grid,10000,302,test,3.982042572148795,3.982042572148795,1.0,True,0.0,2,2815,0,ao_grid_coordinate_codebook,analytical_ris_equal_allocation,"[1.8379718267455498, 3.982040458915294, 3.982042572148795]",[],"{""allocation_levels"": 7, ""beta_levels"": 5, ""phase_levels"": 8}",1109.422429,1a480db47c5efa1cc1a63abf6aef552d6bf21ecebd475a7bc99d509c20d9fb0d,fc61d5cda7da39530055bae9bd0e92865f995cd9,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae
ao_grid,10000,303,test,3.9820418394328865,3.9820418394328865,1.0,True,0.0,2,2815,0,ao_grid_coordinate_codebook,analytical_ris_equal_allocation,"[1.8378739184821933, 3.9820383749110375, 3.9820418394328865]",[],"{""allocation_levels"": 7, ""beta_levels"": 5, ""phase_levels"": 8}",1120.358461,1a480db47c5efa1cc1a63abf6aef552d6bf21ecebd475a7bc99d509c20d9fb0d,fc61d5cda7da39530055bae9bd0e92865f995cd9,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae
ao_grid,10000,304,test,3.9820277763160865,3.9820277763160865,1.0,True,0.0,2,2815,0,ao_grid_coordinate_codebook,analytical_ris_equal_allocation,"[1.8378695041323188, 3.9820240145338532, 3.9820277763160865]",[],"{""allocation_levels"": 7, ""beta_levels"": 5, ""phase_levels"": 8}",1127.533698,1a480db47c5efa1cc1a63abf6aef552d6bf21ecebd475a7bc99d509c20d9fb0d,fc61d5cda7da39530055bae9bd0e92865f995cd9,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae
ao_grid,10000,305,test,3.982038777282116,3.982038777282116,1.0,True,0.0,2,2815,0,ao_grid_coordinate_codebook,analytical_ris_equal_allocation,"[1.8379359636191501, 3.9820372211259776, 3.982038777282116]",[],"{""allocation_levels"": 7, ""beta_levels"": 5, ""phase_levels"": 8}",1111.673138,1a480db47c5efa1cc1a63abf6aef552d6bf21ecebd475a7bc99d509c20d9fb0d,fc61d5cda7da39530055bae9bd0e92865f995cd9,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae
ao_grid,10000,306,test,3.982031598813855,3.982031598813855,1.0,True,0.0,2,2815,0,ao_grid_coordinate_codebook,analytical_ris_equal_allocation,"[1.8379071092649222, 3.982027164281204, 3.982031598813855]",[],"{""allocation_levels"": 7, ""beta_levels"": 5, ""phase_levels"": 8}",1106.445701,1a480db47c5efa1cc1a63abf6aef552d6bf21ecebd475a7bc99d509c20d9fb0d,fc61d5cda7da39530055bae9bd0e92865f995cd9,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae
ao_grid,10000,307,test,3.9820353560833404,3.9820353560833404,1.0,True,0.0,2,2815,0,ao_grid_coordinate_codebook,analytical_ris_equal_allocation,"[1.8379011549690505, 3.982030460508146, 3.9820353560833404]",[],"{""allocation_levels"": 7, ""beta_levels"": 5, ""phase_levels"": 8}",1137.845288,1a480db47c5efa1cc1a63abf6aef552d6bf21ecebd475a7bc99d509c20d9fb0d,fc61d5cda7da39530055bae9bd0e92865f995cd9,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae
ao_grid,10000,308,test,3.9820243192582687,3.9820243192582687,1.0,True,0.0,2,2815,0,ao_grid_coordinate_codebook,analytical_ris_equal_allocation,"[1.837861442661532, 3.9820193874424272, 3.9820243192582687]",[],"{""allocation_levels"": 7, ""beta_levels"": 5, ""phase_levels"": 8}",1095.502377,1a480db47c5efa1cc1a63abf6aef552d6bf21ecebd475a7bc99d509c20d9fb0d,fc61d5cda7da39530055bae9bd0e92865f995cd9,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae
ao_grid,10000,309,test,3.982030672202993,3.982030672202993,1.0,True,0.0,2,2815,0,ao_grid_coordinate_codebook,analytical_ris_equal_allocation,"[1.8376636169924, 3.982023153880876, 3.982030672202993]",[],"{""allocation_levels"": 7, ""beta_levels"": 5, ""phase_levels"": 8}",1090.120459,1a480db47c5efa1cc1a63abf6aef552d6bf21ecebd475a7bc99d509c20d9fb0d,fc61d5cda7da39530055bae9bd0e92865f995cd9,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae
ao_grid,10000,310,test,3.9820485644472523,3.9820485644472523,1.0,True,0.0,2,2815,0,ao_grid_coordinate_codebook,analytical_ris_equal_allocation,"[1.8379512707650625, 3.9820469015207154, 3.9820485644472523]",[],"{""allocation_levels"": 7, ""beta_levels"": 5, ""phase_levels"": 8}",1072.400869,1a480db47c5efa1cc1a63abf6aef552d6bf21ecebd475a7bc99d509c20d9fb0d,fc61d5cda7da39530055bae9bd0e92865f995cd9,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae
ao_grid,10000,311,test,3.9820359725972367,3.9820359725972367,1.0,True,0.0,2,2815,0,ao_grid_coordinate_codebook,analytical_ris_equal_allocation,"[1.8379231455577743, 3.9820339348917906, 3.9820359725972367]",[],"{""allocation_levels"": 7, ""beta_levels"": 5, ""phase_levels"": 8}",1076.571021,1a480db47c5efa1cc1a63abf6aef552d6bf21ecebd475a7bc99d509c20d9fb0d,fc61d5cda7da39530055bae9bd0e92865f995cd9,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae
ao_grid,10000,312,test,3.9820433657266188,3.9820433657266188,1.0,True,0.0,2,2815,0,ao_grid_coordinate_codebook,analytical_ris_equal_allocation,"[1.8378727403263024, 3.982040222054757, 3.9820433657266188]",[],"{""allocation_levels"": 7, ""beta_levels"": 5, ""phase_levels"": 8}",1119.247449,1a480db47c5efa1cc1a63abf6aef552d6bf21ecebd475a7bc99d509c20d9fb0d,fc61d5cda7da39530055bae9bd0e92865f995cd9,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae
ao_grid,10000,313,test,3.9820377541358187,3.9820377541358187,1.0,True,0.0,2,2815,0,ao_grid_coordinate_codebook,analytical_ris_equal_allocation,"[1.837913757312559, 3.9820341359543487, 3.9820377541358187]",[],"{""allocation_levels"": 7, ""beta_levels"": 5, ""phase_levels"": 8}",1101.746543,1a480db47c5efa1cc1a63abf6aef552d6bf21ecebd475a7bc99d509c20d9fb0d,fc61d5cda7da39530055bae9bd0e92865f995cd9,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae
ao_grid,10000,314,test,3.982045054216787,3.982045054216787,1.0,True,0.0,2,2815,0,ao_grid_coordinate_codebook,analytical_ris_equal_allocation,"[1.8378959415977818, 3.982041335235208, 3.982045054216787]",[],"{""allocation_levels"": 7, ""beta_levels"": 5, ""phase_levels"": 8}",1105.27274,1a480db47c5efa1cc1a63abf6aef552d6bf21ecebd475a7bc99d509c20d9fb0d,fc61d5cda7da39530055bae9bd0e92865f995cd9,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae
ao_grid,10000,315,test,3.9820388872939207,3.9820388872939207,1.0,True,0.0,2,2815,0,ao_grid_coordinate_codebook,analytical_ris_equal_allocation,"[1.8378667651517517, 3.9820323312457226, 3.9820388872939207]",[],"{""allocation_levels"": 7, ""beta_levels"": 5, ""phase_levels"": 8}",1127.007644,1a480db47c5efa1cc1a63abf6aef552d6bf21ecebd475a7bc99d509c20d9fb0d,fc61d5cda7da39530055bae9bd0e92865f995cd9,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae
ao_grid,10000,316,test,3.9820441509837385,3.9820441509837385,1.0,True,0.0,2,2815,0,ao_grid_coordinate_codebook,analytical_ris_equal_allocation,"[1.837952738446741, 3.98204167148438, 3.9820441509837385]",[],"{""allocation_levels"": 7, ""beta_levels"": 5, ""phase_levels"": 8}",1147.85263,1a480db47c5efa1cc1a63abf6aef552d6bf21ecebd475a7bc99d509c20d9fb0d,fc61d5cda7da39530055bae9bd0e92865f995cd9,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae
ao_grid,10000,317,test,3.9820496004405705,3.9820496004405705,1.0,True,0.0,2,2815,0,ao_grid_coordinate_codebook,analytical_ris_equal_allocation,"[1.8379441622443744, 3.982043182913338, 3.9820496004405705]",[],"{""allocation_levels"": 7, ""beta_levels"": 5, ""phase_levels"": 8}",1109.153993,1a480db47c5efa1cc1a63abf6aef552d6bf21ecebd475a7bc99d509c20d9fb0d,fc61d5cda7da39530055bae9bd0e92865f995cd9,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae
ao_grid,10000,318,test,3.9820376611841324,3.9820376611841324,1.0,True,0.0,2,2815,0,ao_grid_coordinate_codebook,analytical_ris_equal_allocation,"[1.8379263202842469, 3.9820338232042767, 3.9820376611841324]",[],"{""allocation_levels"": 7, ""beta_levels"": 5, ""phase_levels"": 8}",1130.053152,1a480db47c5efa1cc1a63abf6aef552d6bf21ecebd475a7bc99d509c20d9fb0d,fc61d5cda7da39530055bae9bd0e92865f995cd9,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae
ao_grid,10000,319,test,3.9820259179576474,3.9820259179576474,1.0,True,0.0,2,2815,0,ao_grid_coordinate_codebook,analytical_ris_equal_allocation,"[1.8378601434104775, 3.9820179430076355, 3.9820259179576474]",[],"{""allocation_levels"": 7, ""beta_levels"": 5, ""phase_levels"": 8}",1130.521278,1a480db47c5efa1cc1a63abf6aef552d6bf21ecebd475a7bc99d509c20d9fb0d,fc61d5cda7da39530055bae9bd0e92865f995cd9,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae
