method,n_ris,seed,best_validation_step,best_validation_feasible,initial_sum_rate,best_sum_rate,latest_sum_rate,learning_gain_best_minus_initial,latest_gain_minus_initial,best_all_qos,latest_all_qos,best_qos_fraction,best_violation,training_seconds,interactions_per_second,total_wall_seconds,device_name,peak_gpu_memory_mb,config_hash,test_bank_checksum,repository_commit,embedded_runtime_identifier,archive,archive_sha256
ddpg,64,0,100000,True,4.334982288828871,19.04213601296748,19.04213601296748,14.707153724138607,14.707153724138607,0.997,0.997,0.99775,0.0005242545001488297,928.6270628579999,107.68585581840985,939.4703731069999,Tesla T4,32.91162109375,6c99c7fe7c077359f1b9706db2d8c1a011bb12c1845f7072b0803a7cde41b3d4,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae,3e96df18eab0a8b3a6a3f1006d74c31e09add2a1,fc61d5cda7da39530055bae9bd0e92865f995cd9,physical_v6_ddpg_r2_n64_seed0.zip,938976530cadc7ea0ab5d7bb7e308b1503927c972e90a58e9b5e2aeecf709a27
ddpg,64,1,95000,True,4.364851754348589,18.90002461404523,18.862871009294157,14.53517285969664,14.498019254945568,0.999,1.0,0.99925,6.74606881981988e-05,854.425148334,117.03775362298839,864.564001637,Tesla T4,32.91162109375,6c99c7fe7c077359f1b9706db2d8c1a011bb12c1845f7072b0803a7cde41b3d4,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae,3e96df18eab0a8b3a6a3f1006d74c31e09add2a1,fc61d5cda7da39530055bae9bd0e92865f995cd9,physical_v6_ddpg_r2_n64_seed1.zip,30f29254c545df14c6fb0dfb543e067803d4fe42ef1b36fe974c46687abb80c8
ddpg,64,2,80000,True,4.356343680897449,19.085760890427107,19.0532940269037,14.729417209529657,14.69695034600625,0.999,0.999,0.99925,0.0003688140253561581,889.6908581829999,112.39859225285089,900.5583197860001,Tesla T4,32.91162109375,6c99c7fe7c077359f1b9706db2d8c1a011bb12c1845f7072b0803a7cde41b3d4,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae,3e96df18eab0a8b3a6a3f1006d74c31e09add2a1,fc61d5cda7da39530055bae9bd0e92865f995cd9,physical_v6_ddpg_r2_n64_seed2.zip,34042e45cb5b23562a557b7dc311be2df0aaf54d332564965889ec2fa261e03f
ddpg,64,3,90000,True,4.352324105995328,18.891549156956156,18.144668246564216,14.539225050960827,13.792344140568886,0.996,1.0,0.997,0.0031288946015941787,854.3205105060001,117.05208849635558,864.3186202300001,Tesla T4,32.91162109375,6c99c7fe7c077359f1b9706db2d8c1a011bb12c1845f7072b0803a7cde41b3d4,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae,3e96df18eab0a8b3a6a3f1006d74c31e09add2a1,fc61d5cda7da39530055bae9bd0e92865f995cd9,physical_v6_ddpg_r2_n64_seed3.zip,c276867b8e591d3aa6ec03c234a49db43721b2132e4998fcca190c41777f734a
ddpg,64,4,85000,True,4.3611724870928565,18.893107795733,18.846617525803456,14.531935308640142,14.4854450387106,1.0,1.0,1.0,0.0,812.0869774140001,123.13951926484376,821.611341714,Tesla T4,32.91162109375,6c99c7fe7c077359f1b9706db2d8c1a011bb12c1845f7072b0803a7cde41b3d4,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae,3e96df18eab0a8b3a6a3f1006d74c31e09add2a1,fc61d5cda7da39530055bae9bd0e92865f995cd9,physical_v6_ddpg_r2_n64_seed4.zip,a704d6ebf8deca1791bd41f9dd5ee8d9a0f5b87f132ee6e3187e21dc9ab4f2d6
ddpg,96,0,95000,True,4.352259617707649,20.286295283296738,20.27613165423689,15.93403566558909,15.923872036529243,1.0,0.999,1.0,0.0,874.010798054,114.41506240272055,884.744825104,Tesla T4,38.2275390625,99b77a3352d33b75b373cc5b58d3abc1f11039e0a6e9ef73068a7b1562798e36,4e84455d08cacd9f85c432f7838c3be2cb0f000b55edc3487c6dee9520cc0b63,3e96df18eab0a8b3a6a3f1006d74c31e09add2a1,fc61d5cda7da39530055bae9bd0e92865f995cd9,physical_v6_ddpg_r2_n96_seed0.zip,6cc6b24e4fcaf8c5dae33ad8ad1bc9ee7c7c43bd2ffe1afae9fc2acbc426451c
ddpg,96,1,85000,True,4.367811790647084,19.902113352516793,19.90176263022715,15.534301561869707,15.533950839580065,0.999,0.999,0.99925,0.0005553357462444162,886.785533259,112.76683735749825,898.537601974,Tesla T4,38.2275390625,99b77a3352d33b75b373cc5b58d3abc1f11039e0a6e9ef73068a7b1562798e36,4e84455d08cacd9f85c432f7838c3be2cb0f000b55edc3487c6dee9520cc0b63,3e96df18eab0a8b3a6a3f1006d74c31e09add2a1,fc61d5cda7da39530055bae9bd0e92865f995cd9,physical_v6_ddpg_r2_n96_seed1.zip,01b5537dfb02d8bfc63dbac327c8d11985ff5595cb6fc861fa34e0d5d1b1b42a
ddpg,96,2,100000,True,4.324538685048159,19.9688689768969,19.9688689768969,15.64433029184874,15.64433029184874,0.999,0.999,0.99925,0.0011060748791042341,854.96906488,116.96329622643785,865.0105086829999,Tesla T4,38.2275390625,99b77a3352d33b75b373cc5b58d3abc1f11039e0a6e9ef73068a7b1562798e36,4e84455d08cacd9f85c432f7838c3be2cb0f000b55edc3487c6dee9520cc0b63,3e96df18eab0a8b3a6a3f1006d74c31e09add2a1,fc61d5cda7da39530055bae9bd0e92865f995cd9,physical_v6_ddpg_r2_n96_seed2.zip,37021616e36486c378579fcc7fa6992a18b5499b8b172704487b89458f2d4b36
ddpg,96,3,100000,True,4.331006223128594,20.36332801934656,20.36332801934656,16.032321796217968,16.032321796217968,0.998,0.998,0.9995,0.00022545858514222658,1013.42813396,98.67497916132157,1024.8522150059998,Tesla T4,38.2275390625,99b77a3352d33b75b373cc5b58d3abc1f11039e0a6e9ef73068a7b1562798e36,4e84455d08cacd9f85c432f7838c3be2cb0f000b55edc3487c6dee9520cc0b63,3e96df18eab0a8b3a6a3f1006d74c31e09add2a1,fc61d5cda7da39530055bae9bd0e92865f995cd9,physical_v6_ddpg_r2_n96_seed3.zip,97da853da24b50f108557f400e20fe82669786bb43e1647abdfe73a405f36758
ddpg,96,4,85000,True,4.351686670541012,19.936093004248292,19.871066886137566,15.58440633370728,15.519380215596554,1.0,1.0,1.0,0.0,896.2378829979999,111.57751964856764,906.687846756,Tesla T4,38.2275390625,99b77a3352d33b75b373cc5b58d3abc1f11039e0a6e9ef73068a7b1562798e36,4e84455d08cacd9f85c432f7838c3be2cb0f000b55edc3487c6dee9520cc0b63,3e96df18eab0a8b3a6a3f1006d74c31e09add2a1,fc61d5cda7da39530055bae9bd0e92865f995cd9,physical_v6_ddpg_r2_n96_seed4.zip,2d9510a1817bd4d1b0f16c557855061bd74eb14a4e1cfea54f28c1828be223a1
