method,n_ris,seeds,test_scenarios,uncertainty_unit,sum_rate_mean,sum_rate_std,sum_rate_ci95_low,sum_rate_ci95_high,qos_fraction_mean,qos_fraction_std,qos_fraction_ci95_low,qos_fraction_ci95_high,all_qos_mean,all_qos_std,all_qos_ci95_low,all_qos_ci95_high,violation_mean,violation_std,violation_ci95_low,violation_ci95_high
analytical_ris,16,1,1000,scenario,1.981170345194901,0.005118107071378141,1.9808527426695064,1.9814879477202956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018829654805098676,0.005118107071378151,0.018512052279704025,0.019147257330493328
ao_grid,16,1,1000,scenario,16.580237609634896,0.5042238964695726,16.54894815424647,16.61152706502332,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
ao_sca,16,1,1000,scenario,14.344949276360909,4.807928838269609,14.04659476371469,14.643303789007128,0.9635,0.16414839230006092,0.9533138231172383,0.9736861768827617,0.944,0.2300367729666649,0.9297251403675352,0.9582748596324647,2.5313951612996952e-06,1.3777589939349677e-05,1.6764311487138625e-06,3.386359173885528e-06
ddpg,16,5,1000,seed_mean,14.4912410724804,0.3028232396692959,14.115236357963607,14.867245786997195,0.9916500000000001,0.0036640141921122677,0.9871005254887467,0.9961994745112536,0.9847999999999999,0.005932958789676535,0.977433258668032,0.9921667413319678,0.004457298195623646,0.0023211548503119846,0.0015752037837352072,0.007339392607512084
ppo,16,5,1000,seed_mean,9.96329597184644,3.6306813244501543,5.455209682325925,14.471382261366955,0.93875,0.06627475952427139,0.8564590171091002,1.0210409828908997,0.7788000000000002,0.23346884160418493,0.4889101446777466,1.0686898553222537,0.037051889074594405,0.040059111755730674,-0.012688067792517556,0.08679184594170636
td3,16,5,1000,seed_mean,14.55146491557663,0.17125544766445103,14.338823191715413,14.764106639437848,0.9915499999999999,0.004120831226827914,0.9864333122229738,0.996666687777026,0.9719999999999999,0.01626345596729061,0.9518062522390429,0.9921937477609568,0.009133734182058217,0.005024049843474044,0.00289555236623524,0.015371915997881194
analytical_ris,32,1,1000,scenario,1.9819768496904375,0.00021121520087390242,1.9819637427975445,1.9819899565833305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018023150309562395,0.00021121520087390687,0.018010043416669428,0.01803625720245536
ao_grid,32,1,1000,scenario,18.504410336583263,0.375329153738961,18.481119403935846,18.52770126923068,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
ao_sca,32,1,1000,scenario,17.72558130338402,2.608200092708144,17.563730266540507,17.88743234022753,0.998,0.04469897088298564,0.9952262194133513,1.0007737805866488,0.998,0.04469897088298564,0.9952262194133513,1.0007737805866488,1.6007364363429534e-07,3.5794386899796292e-06,-6.204729904593155e-08,3.8219458631452226e-07
ddpg,32,5,1000,seed_mean,16.851819487712184,0.11657347978157406,16.70707439472207,16.996564580702298,0.9962500000000001,0.0023116552511133637,0.993379700898434,0.9991202991015662,0.993,0.0062849025449882735,0.9851962627776688,1.000803737222331,0.002016875201434492,0.002192020781564469,-0.0007048780863485866,0.004738628489217571
ppo,32,5,1000,seed_mean,15.46632602138703,2.304371912557147,12.605070379092869,18.32758166368119,0.9977,0.002354516935594221,0.9947764810879116,1.0006235189120884,0.9916,0.009581231653602796,0.9797033295972711,1.003496670402729,0.0011549915760524125,0.0015612653649967742,-0.000783575419306541,0.003093558571411366
td3,32,5,1000,seed_mean,16.32636954065493,0.29306578881633766,15.962480301576496,16.690258779733362,0.9966000000000002,0.0029769951293208306,0.9929035723250945,1.0002964276749058,0.9898,0.010986355173577824,0.9761586383094888,1.0034413616905113,0.0030995536486806115,0.0029133762520451106,-0.0005178807567056175,0.0067169880540668405
analytical_ris,64,1,1000,scenario,1.98205909146259,5.7045064814000345e-06,1.9820587374712335,1.9820594454539464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01794090853741025,5.704506481386977e-06,0.017940554546053807,0.017941262528766693
ao_grid,64,1,1000,scenario,20.440069892488452,0.26242557915946935,20.423785155669385,20.45635462930752,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
ao_sca,64,1,1000,scenario,19.904968512620894,0.42257024083429673,19.878746049164405,19.93119097607738,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
ddpg,64,5,1000,seed_mean,18.962515694025797,0.09392498926083453,18.845892416328944,19.07913897172265,0.9986499999999999,0.001232375754386613,0.9971198033935189,1.000180196606481,0.9982,0.0016431676725155,0.9961597378580253,1.0002402621419748,0.0008178847630594731,0.0013096489520419993,-0.0008082591909763656,0.002444028717095312
ppo,64,5,1000,seed_mean,19.01461698019093,0.21109370896288246,18.752509521524416,19.276724438857443,0.9995499999999999,0.0005419870847169666,0.9988770341494154,1.0002229658505843,0.9986,0.002073644135332774,0.9960252307320709,1.0011747692679291,0.00018133465433689067,0.00023055397270930296,-0.00010493591321910397,0.0004676052218928853
td3,64,5,1000,seed_mean,18.732388787193432,0.1265249537502978,18.57528730724729,18.889490267139575,0.9995499999999999,0.0006708203932499189,0.9987170664684406,1.0003829335315593,0.9994,0.0008944271909999167,0.9982894219579208,1.000510578042079,0.00010851774932452698,0.0002032573034923794,-0.00014385952679393674,0.0003608950254429907
analytical_ris,96,1,1000,scenario,1.982070164092587,1.7048299361462194e-06,1.9820700582999013,1.9820702698852728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01792983590741293,1.7048299361389671e-06,0.01792973011472717,0.017929941700098692
ao_grid,96,1,1000,scenario,21.58621413602814,0.20930328390602476,21.573225886541586,21.599202385514694,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
ao_sca,96,1,1000,scenario,20.91025499632243,0.3819431299569165,20.88655363545997,20.93395635718489,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
ddpg,96,5,1000,seed_mean,20.091339727261058,0.21615535527751192,19.82294740459403,20.359732049928088,0.9996,0.000379143772202587,0.9991292308279129,1.0000707691720871,0.9992000000000001,0.0008366600265340764,0.9981611493663165,1.0002388506336837,0.0003773738420981754,0.0004665232897072049,-0.00020189133105484553,0.0009566390152511964
ppo,96,5,1000,seed_mean,20.132725560821072,0.2974015447513659,19.763452769693114,20.50199835194903,0.9999499999999999,0.00011180339887497717,0.99981117774474,1.0000888222552597,0.9997999999999999,0.00044721359549995833,0.9992447109789604,1.0003552890210394,2.2505310076193e-06,5.032340318507851e-06,-3.997944792581163e-06,8.499006807819763e-06
td3,96,5,1000,seed_mean,19.92788870107664,0.1134135964636442,19.787067121440924,20.068710280712356,0.9997,0.00041079191812889017,0.9991899344645063,1.0002100655354937,0.9996,0.0005477225575051667,0.9989199126193418,1.0002800873806583,0.00024811634513243803,0.0004989388630242318,-0.0003713980783894699,0.000867630768654346
analytical_ris,128,1,1000,scenario,1.9820737737715548,7.472867280867001e-07,1.9820737273989117,1.9820738201441979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01792622622844515,7.472867280872992e-07,0.017926179855802155,0.017926272601088148
ao_grid,128,1,1000,scenario,22.3917960807612,0.18592112129721036,22.380258804024958,22.40333335749744,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
ao_sca,128,1,1000,scenario,21.609453290965693,0.39955526990549234,21.584659014295244,21.63424756763614,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
ddpg,128,5,1000,seed_mean,20.98904735612692,0.07483594637685972,20.89612625573927,21.081968456514574,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
ppo,128,5,1000,seed_mean,21.020078093044216,0.17163884928260703,20.806960313196882,21.23319587289155,0.99975,0.00030618621784790883,0.9993698195965521,1.000130180403448,0.9994,0.0005477225575051667,0.9987199126193417,1.0000800873806581,6.977609980381333e-05,0.00011182468085558299,-6.907258052518975e-05,0.0002086247801328164
td3,128,5,1000,seed_mean,20.91952378823659,0.07550172209513206,20.825776018108677,21.0132715583645,0.9997,0.0006708203932499126,0.9988670664684407,1.0005329335315594,0.9996,0.0008944271909999166,0.9984894219579209,1.000710578042079,0.00021056336576552926,0.00047083399942287544,-0.00037405426044814706,0.0007951809919792056
