n_ris,seed,status
16,0,completed
16,1,completed
16,2,completed
16,3,completed
16,4,completed
16,5,completed
16,6,completed
16,7,completed
32,0,completed
32,1,completed
32,2,completed
32,3,completed
32,4,completed
32,5,completed
32,6,completed
32,7,completed
64,0,completed
64,1,completed
64,2,completed
64,3,completed
64,4,completed
64,5,completed
64,6,completed
64,7,completed
