n_ris,seed,scenario,bank_checksum,checkpoint_step,actor_repeats,decode_repeats,end_to_end_repeats,td3_actor_ms,td3_decode_ms,td3_decision_ms,td3_end_to_end_ms,td3_sum_rate,td3_qos_fraction,td3_all_qos,td3_violation,ao_sca_end_to_end_ms,ao_sca_iterations,ao_sca_evaluations,ao_sca_sum_rate,ao_sca_qos_fraction,ao_sca_all_qos,ao_sca_violation,ao_grid_end_to_end_ms,ao_grid_iterations,ao_grid_evaluations,ao_grid_sum_rate,ao_grid_qos_fraction,ao_grid_all_qos,ao_grid_violation,analytical_ris_end_to_end_ms,analytical_ris_iterations,analytical_ris_evaluations,analytical_ris_sum_rate,analytical_ris_qos_fraction,analytical_ris_all_qos,analytical_ris_violation
32,0,0,6ec54735c1c2c35cd253d9d3d23295783293b6d64c65204dfcab16b2d59ebbef,85000,100,100,20,0.19758247,0.07283337000000001,0.27041584,0.55835475,10.481910955434351,1.0,1.0,0.0,852.141009,16,3429,15.763930819368571,1.0,1.0,0.0,299.533543,2,1471,3.9818799398186835,1.0,1.0,0.0,0.226028,0,1,1.9819592067529923,0.0,0.0,0.01804079324700758
32,0,1,6ec54735c1c2c35cd253d9d3d23295783293b6d64c65204dfcab16b2d59ebbef,85000,100,100,20,0.17280214000000002,0.06500613999999999,0.23780828,0.518276,6.163676119194649,1.0,1.0,0.0,892.070975,17,3645,16.201677954195397,1.0,1.0,0.0,273.024451,2,1471,3.981918966443752,1.0,1.0,0.0,0.24573,0,1,1.9820121301704015,0.0,0.0,0.017987869829598657
32,0,2,6ec54735c1c2c35cd253d9d3d23295783293b6d64c65204dfcab16b2d59ebbef,85000,100,100,20,0.18723268,0.06565385,0.25288653,0.53948855,9.52438356595502,1.0,1.0,0.0,264.160897,5,1073,15.855063230215263,1.0,1.0,0.0,278.608513,2,1471,3.9819289967895575,1.0,1.0,0.0,0.260867,0,1,1.9820244042953263,0.0,0.0,0.017975595704673608
32,0,3,6ec54735c1c2c35cd253d9d3d23295783293b6d64c65204dfcab16b2d59ebbef,85000,100,100,20,0.19516399,0.07196116,0.26712515000000003,0.54994435,10.306583817452315,1.0,1.0,0.0,679.164006,13,2809,16.813048975446197,1.0,1.0,0.0,303.136294,2,1471,3.9819824904128533,1.0,1.0,0.0,0.261825,0,1,1.9820069508313454,0.0,0.0,0.017993049168654685
32,0,4,6ec54735c1c2c35cd253d9d3d23295783293b6d64c65204dfcab16b2d59ebbef,85000,100,100,20,0.20193455,0.07013374,0.27206829,0.56888435,10.900765796610253,1.0,1.0,0.0,296.869678,5,1086,16.134566573856418,1.0,1.0,0.0,267.114796,2,1471,3.981953553124016,1.0,1.0,0.0,0.270493,0,1,1.9820369303698762,0.0,0.0,0.01796306963012384
32,0,5,6ec54735c1c2c35cd253d9d3d23295783293b6d64c65204dfcab16b2d59ebbef,85000,100,100,20,0.18228691000000002,0.06479382,0.24708073000000003,0.4821014,8.566912217516046,1.0,1.0,0.0,669.27088,12,2691,18.060815117305907,1.0,1.0,0.0,273.873025,2,1471,3.981912397589286,1.0,1.0,0.0,0.301693,0,1,1.9819940454864833,0.0,0.0,0.01800595451351661
32,0,6,6ec54735c1c2c35cd253d9d3d23295783293b6d64c65204dfcab16b2d59ebbef,85000,100,100,20,0.20358961,0.07366154,0.27725115,0.55857075,8.182156703619226,1.0,1.0,0.0,997.080468,18,3957,15.832904873027328,1.0,1.0,0.0,276.156498,2,1471,3.981896583716868,1.0,1.0,0.0,0.222801,0,1,1.9817377760105486,0.0,0.0,0.018262223989451376
32,0,7,6ec54735c1c2c35cd253d9d3d23295783293b6d64c65204dfcab16b2d59ebbef,85000,100,100,20,0.19471642,0.06711682,0.26183323999999997,0.557099,5.4424844795723475,1.0,1.0,0.0,575.742467,10,2276,17.40519317812825,1.0,1.0,0.0,274.983161,2,1471,3.98185776732946,1.0,1.0,0.0,0.347409,0,1,1.9819402198631284,0.0,0.0,0.01805978013687165
32,0,8,6ec54735c1c2c35cd253d9d3d23295783293b6d64c65204dfcab16b2d59ebbef,85000,100,100,20,0.18417363,0.06776989,0.25194352,0.52077515,9.519634039585013,1.0,1.0,0.0,436.771325,8,1743,14.95792538059543,1.0,1.0,0.0,291.496168,2,1471,3.9818224303613015,1.0,1.0,0.0,0.24147,0,1,1.9819288410136162,0.0,0.0,0.018071158986383784
32,0,9,6ec54735c1c2c35cd253d9d3d23295783293b6d64c65204dfcab16b2d59ebbef,85000,100,100,20,0.20382202,0.07075385,0.27457587,0.5637512,11.471777597516123,1.0,1.0,0.0,163.027423,3,658,15.471071521562674,1.0,1.0,0.0,281.406319,2,1471,3.981893821583187,1.0,1.0,0.0,0.314815,0,1,1.9818535077501056,0.0,0.0,0.018146492249894175
