method,n_ris,count,solve_ms_mean,solve_ms_std,solve_ms_median,min,max
analytical_ris,16,100,0.12189201000000001,0.006658957158162404,0.120056,0.110377,0.150928
analytical_ris,32,100,0.12524662,0.007425380863312827,0.1228255,0.116176,0.161103
analytical_ris,64,100,0.13542577,0.008757671690090589,0.133386,0.111518,0.16558
analytical_ris,96,100,0.14090329000000001,0.010753291863655033,0.13755250000000002,0.118058,0.188194
analytical_ris,128,100,0.1499696,0.009126422177259598,0.147918,0.122876,0.184349
ao_grid,16,100,70.6032318,0.3840411634238323,70.57560050000001,69.988449,73.047399
ao_grid,32,100,131.34853972000002,0.4278366370686322,131.30606899999998,130.523256,134.038845
ao_grid,64,100,257.67372092,0.7959726296039373,257.7416995,255.054061,259.630123
ao_grid,96,100,399.17253719,1.0464754262495728,399.266071,396.839008,401.74624
ao_grid,128,100,531.25392718,2.147757872723367,531.6104775,525.662051,535.728147
ao_sca,16,100,216.44064928,72.97116253152548,219.58815049999998,47.088464,319.289196
ao_sca,32,100,370.24073813,141.1603465919836,393.32408899999996,77.024862,547.479579
ao_sca,64,100,603.96177947,286.4281496618576,604.773207,100.351138,1012.014018
ao_sca,96,100,890.1315284,441.81976376789635,905.433738,151.911538,1529.308736
ao_sca,128,100,1039.03787671,555.8681660163229,922.0846469999999,209.603621,2062.616337
ddpg,16,100,0.21990980999999998,0.011779480882128223,0.2154905,0.202868,0.276498
ddpg,32,100,0.23232664999999997,0.010974683411715055,0.229842,0.202596,0.272952
ddpg,64,100,0.2577203,0.010869997206192201,0.253948,0.240472,0.291201
ddpg,96,100,0.28387473999999996,0.012730453831658951,0.2807695,0.2293359999999999,0.325822
ddpg,128,100,0.30713904,0.01982290412828534,0.302522,0.249026,0.396409
ppo,16,100,0.38225418,0.011760170472532732,0.37806599999999996,0.364341,0.406624
ppo,32,100,0.39941226999999996,0.013472326584262668,0.396779,0.364471,0.435318
ppo,64,100,0.43754016999999995,0.013957683408880041,0.4353875,0.393024,0.476009
ppo,96,100,0.48652185,0.014197276567242333,0.485924,0.428467,0.525603
ppo,128,100,0.52123508,0.02033008450532202,0.5190735,0.455208,0.606426
td3,16,100,0.24602646999999997,0.010604846524451527,0.24285600000000002,0.232521,0.279012
td3,32,100,0.25753465999999997,0.01121894174074462,0.2553955,0.223127,0.305492
td3,64,100,0.28479318,0.01145630176227404,0.28172600000000003,0.265661,0.315766
td3,96,100,0.31124949999999996,0.013805346850646917,0.30993800000000005,0.254644,0.345792
td3,128,100,0.34200911,0.04750145147700354,0.335882,0.265011,0.777155
