step,reward,environment_reward,sum_rate,qos_fraction,all_qos,violation,qos_dual,qos_violation_ema,qos_dual_updated,exploration_noise,critic_loss,actor_loss,effective_target_noise,n_ris,seed
1,-5.11412059041473,-5.11412059041473,3.0248728013178803,0.5,False,0.7394061218779315,8.0,0.7394061218779315,False,0.0,,,,32,1
1000,-2.405514951540563,-2.405514951540563,1.8725954632302964,0.25,False,0.4418956553027126,8.0,0.7088390503977026,False,0.0,0.1019389927387237,0.0,0.1171080087538239,32,1
2000,-1.7405772519741791,-1.7405772519741791,12.495581200491268,0.25,False,1.2358198825729332,8.0,0.6954523963595642,False,0.0,0.2465341687202453,0.0,0.1171080087538239,32,1
3000,10.632414437796038,10.632414437796038,10.632414437796038,1.0,True,0.0,8.182712212650504,0.0101356106325251,True,0.1173,0.2805197238922119,0.0,0.1171080087538239,32,1
4000,6.03826320210215,6.03826320210215,6.03826320210215,1.0,True,0.0,9.37473557596239,0.0606011681655943,True,0.1163999999999999,0.90682053565979,0.0,0.1171080087538239,32,1
5000,8.489642616921255,9.094769869686964,14.166235167285024,0.75,False,0.44017719723452,10.057494735119798,0.0351379579578704,True,0.1154999999999999,1.0158079862594604,0.0,0.1171080087538239,32,1
6000,7.99116893635137,7.99116893635137,7.99116893635137,1.0,True,0.0,13.967956063934306,0.1965230664407253,True,0.1146,2.1511101722717285,0.0,0.1171080087538239,32,1
7000,12.136509806514018,13.171860062234588,14.800515337005493,0.75,False,0.1734848991227369,14.595850612739708,0.0323947274402701,True,0.1137,3.0267276763916016,0.0,0.1171080087538239,32,1
8000,8.444281413778738,8.444281413778738,8.444281413778738,1.0,True,0.0,15.819691032361051,0.0621920209810672,True,0.1128,3.1137611865997314,0.0,0.1171080087538239,32,1
9000,13.937098435373764,13.937098435373764,13.937098435373764,1.0,True,0.0,15.837238251937674,0.001877360978831,True,0.1119,5.460909843444824,0.0,0.1171080087538239,32,1
10000,8.250635315534494,8.250635315534494,8.250635315534494,1.0,True,0.0,16.3808879693208,0.0281824858691563,True,0.111,3.462965488433838,0.0,0.1171080087538239,32,1
11000,9.537162128358135,9.537162128358135,9.537162128358135,1.0,True,0.0,16.880621518929512,0.0259866774804355,True,0.1101,3.682036638259888,0.0,0.1171080087538239,32,1
12000,7.997318815790949,7.997318815790949,7.997318815790949,1.0,True,0.0,17.159977758117964,0.0149678119594225,True,0.1091999999999999,4.951028823852539,0.0,0.1171080087538239,32,1
13000,9.493067760151456,9.493067760151456,9.493067760151456,1.0,True,0.0,18.245835653808296,0.0552928947845165,True,0.1083,4.036571025848389,0.0,0.1171080087538239,32,1
14000,12.115168167104462,12.115168167104462,12.115168167104462,1.0,True,0.0,18.95186817634926,0.0363016261270482,True,0.1074,7.862374305725098,0.0,0.1171080087538239,32,1
15000,11.011656539178004,11.011656539178004,11.011656539178004,1.0,True,0.0,19.054374869976783,0.0061253346813761,True,0.1065,7.400358200073242,0.0,0.1171080087538239,32,1
16000,5.580067664866325,5.580067664866325,5.580067664866325,1.0,True,0.0,19.67927963513157,0.0322452382577395,True,0.1056,9.525205612182615,0.0,0.1171080087538239,32,1
17000,14.14188868488449,14.14188868488449,14.14188868488449,1.0,True,0.0,19.914479444951727,0.0127599904910075,True,0.1046999999999999,10.838871002197266,0.0,0.1171080087538239,32,1
