method,seed,scenario,split,sum_rate,reward,qos_fraction,all_qos,violation,iterations,evaluations,accepted_steps,solver,initialization,objective_history,surrogate_records,grid,solve_ms,config_hash,git_commit,bank_checksum
ao_grid,10000,250,test,3.9820607946759536,3.9820607946759536,1.0,True,0.0,2,4159,0,ao_grid_coordinate_codebook,analytical_ris_equal_allocation,"[1.8380061352541979, 3.9820598204938276, 3.9820607946759536]",[],"{""allocation_levels"": 7, ""beta_levels"": 5, ""phase_levels"": 8}",1668.553636,eb978e84730de4cf1e0579ad9e17edb700c67ba6eceac89d1fe3698763a419f7,fc61d5cda7da39530055bae9bd0e92865f995cd9,4e84455d08cacd9f85c432f7838c3be2cb0f000b55edc3487c6dee9520cc0b63
ao_grid,10000,251,test,3.982050152100771,3.982050152100771,1.0,True,0.0,2,4159,0,ao_grid_coordinate_codebook,analytical_ris_equal_allocation,"[1.8379694252800651, 3.982048163276267, 3.982050152100771]",[],"{""allocation_levels"": 7, ""beta_levels"": 5, ""phase_levels"": 8}",1594.697934,eb978e84730de4cf1e0579ad9e17edb700c67ba6eceac89d1fe3698763a419f7,fc61d5cda7da39530055bae9bd0e92865f995cd9,4e84455d08cacd9f85c432f7838c3be2cb0f000b55edc3487c6dee9520cc0b63
ao_grid,10000,252,test,3.9820594334401482,3.9820594334401482,1.0,True,0.0,2,4159,0,ao_grid_coordinate_codebook,analytical_ris_equal_allocation,"[1.8379859894273807, 3.9820569694279744, 3.9820594334401482]",[],"{""allocation_levels"": 7, ""beta_levels"": 5, ""phase_levels"": 8}",1616.392978,eb978e84730de4cf1e0579ad9e17edb700c67ba6eceac89d1fe3698763a419f7,fc61d5cda7da39530055bae9bd0e92865f995cd9,4e84455d08cacd9f85c432f7838c3be2cb0f000b55edc3487c6dee9520cc0b63
ao_grid,10000,253,test,3.9820584030274406,3.9820584030274406,1.0,True,0.0,2,4159,0,ao_grid_coordinate_codebook,analytical_ris_equal_allocation,"[1.8379701199837575, 3.9820559166959573, 3.9820584030274406]",[],"{""allocation_levels"": 7, ""beta_levels"": 5, ""phase_levels"": 8}",1664.510511,eb978e84730de4cf1e0579ad9e17edb700c67ba6eceac89d1fe3698763a419f7,fc61d5cda7da39530055bae9bd0e92865f995cd9,4e84455d08cacd9f85c432f7838c3be2cb0f000b55edc3487c6dee9520cc0b63
ao_grid,10000,254,test,3.9820586993544054,3.9820586993544054,1.0,True,0.0,2,4159,0,ao_grid_coordinate_codebook,analytical_ris_equal_allocation,"[1.837977297922087, 3.9820575956643576, 3.9820586993544054]",[],"{""allocation_levels"": 7, ""beta_levels"": 5, ""phase_levels"": 8}",1687.633373,eb978e84730de4cf1e0579ad9e17edb700c67ba6eceac89d1fe3698763a419f7,fc61d5cda7da39530055bae9bd0e92865f995cd9,4e84455d08cacd9f85c432f7838c3be2cb0f000b55edc3487c6dee9520cc0b63
ao_grid,10000,255,test,3.9820523097950336,3.9820523097950336,1.0,True,0.0,2,4159,0,ao_grid_coordinate_codebook,analytical_ris_equal_allocation,"[1.8379568657914163, 3.98204943424515, 3.9820523097950336]",[],"{""allocation_levels"": 7, ""beta_levels"": 5, ""phase_levels"": 8}",1629.437866,eb978e84730de4cf1e0579ad9e17edb700c67ba6eceac89d1fe3698763a419f7,fc61d5cda7da39530055bae9bd0e92865f995cd9,4e84455d08cacd9f85c432f7838c3be2cb0f000b55edc3487c6dee9520cc0b63
ao_grid,10000,256,test,3.982060560173565,3.982060560173565,1.0,True,0.0,2,4159,0,ao_grid_coordinate_codebook,analytical_ris_equal_allocation,"[1.837986209044049, 3.9820567774059272, 3.982060560173565]",[],"{""allocation_levels"": 7, ""beta_levels"": 5, ""phase_levels"": 8}",1712.130353,eb978e84730de4cf1e0579ad9e17edb700c67ba6eceac89d1fe3698763a419f7,fc61d5cda7da39530055bae9bd0e92865f995cd9,4e84455d08cacd9f85c432f7838c3be2cb0f000b55edc3487c6dee9520cc0b63
ao_grid,10000,257,test,3.982055650055562,3.982055650055562,1.0,True,0.0,2,4159,0,ao_grid_coordinate_codebook,analytical_ris_equal_allocation,"[1.8379642337131579, 3.9820536038309866, 3.982055650055562]",[],"{""allocation_levels"": 7, ""beta_levels"": 5, ""phase_levels"": 8}",1615.561281,eb978e84730de4cf1e0579ad9e17edb700c67ba6eceac89d1fe3698763a419f7,fc61d5cda7da39530055bae9bd0e92865f995cd9,4e84455d08cacd9f85c432f7838c3be2cb0f000b55edc3487c6dee9520cc0b63
ao_grid,10000,258,test,3.982060172443655,3.982060172443655,1.0,True,0.0,2,4159,0,ao_grid_coordinate_codebook,analytical_ris_equal_allocation,"[1.8380091077003384, 3.982058790426322, 3.982060172443655]",[],"{""allocation_levels"": 7, ""beta_levels"": 5, ""phase_levels"": 8}",1640.562524,eb978e84730de4cf1e0579ad9e17edb700c67ba6eceac89d1fe3698763a419f7,fc61d5cda7da39530055bae9bd0e92865f995cd9,4e84455d08cacd9f85c432f7838c3be2cb0f000b55edc3487c6dee9520cc0b63
ao_grid,10000,259,test,3.982061298245459,3.982061298245459,1.0,True,0.0,2,4159,0,ao_grid_coordinate_codebook,analytical_ris_equal_allocation,"[1.8379942055680367, 3.982060327598637, 3.982061298245459]",[],"{""allocation_levels"": 7, ""beta_levels"": 5, ""phase_levels"": 8}",1666.818021,eb978e84730de4cf1e0579ad9e17edb700c67ba6eceac89d1fe3698763a419f7,fc61d5cda7da39530055bae9bd0e92865f995cd9,4e84455d08cacd9f85c432f7838c3be2cb0f000b55edc3487c6dee9520cc0b63
