method,n_ris,scenario,inference_ms,evaluation_ms,solve_ms,cpu_threads,seed,config_hash,bank_checksum
analytical_ris,128,24,,,0.156326,1,0,895cf8987087c169d7023476c078ebabf24f99fbbc30b65ad7fae1097d95a6fe,f4c80269e5fb3cf553900b2e82f235af875b7c2e33b4ff71ec5d85cc25eb2b4e
analytical_ris,128,25,,,0.150768,1,0,895cf8987087c169d7023476c078ebabf24f99fbbc30b65ad7fae1097d95a6fe,f4c80269e5fb3cf553900b2e82f235af875b7c2e33b4ff71ec5d85cc25eb2b4e
analytical_ris,128,26,,,0.16567,1,0,895cf8987087c169d7023476c078ebabf24f99fbbc30b65ad7fae1097d95a6fe,f4c80269e5fb3cf553900b2e82f235af875b7c2e33b4ff71ec5d85cc25eb2b4e
analytical_ris,128,27,,,0.144919,1,0,895cf8987087c169d7023476c078ebabf24f99fbbc30b65ad7fae1097d95a6fe,f4c80269e5fb3cf553900b2e82f235af875b7c2e33b4ff71ec5d85cc25eb2b4e
analytical_ris,128,28,,,0.149405,1,0,895cf8987087c169d7023476c078ebabf24f99fbbc30b65ad7fae1097d95a6fe,f4c80269e5fb3cf553900b2e82f235af875b7c2e33b4ff71ec5d85cc25eb2b4e
analytical_ris,128,29,,,0.142205,1,0,895cf8987087c169d7023476c078ebabf24f99fbbc30b65ad7fae1097d95a6fe,f4c80269e5fb3cf553900b2e82f235af875b7c2e33b4ff71ec5d85cc25eb2b4e
analytical_ris,128,30,,,0.156226,1,0,895cf8987087c169d7023476c078ebabf24f99fbbc30b65ad7fae1097d95a6fe,f4c80269e5fb3cf553900b2e82f235af875b7c2e33b4ff71ec5d85cc25eb2b4e
analytical_ris,128,31,,,0.143798,1,0,895cf8987087c169d7023476c078ebabf24f99fbbc30b65ad7fae1097d95a6fe,f4c80269e5fb3cf553900b2e82f235af875b7c2e33b4ff71ec5d85cc25eb2b4e
analytical_ris,128,32,,,0.157367,1,0,895cf8987087c169d7023476c078ebabf24f99fbbc30b65ad7fae1097d95a6fe,f4c80269e5fb3cf553900b2e82f235af875b7c2e33b4ff71ec5d85cc25eb2b4e
analytical_ris,128,33,,,0.143667,1,0,895cf8987087c169d7023476c078ebabf24f99fbbc30b65ad7fae1097d95a6fe,f4c80269e5fb3cf553900b2e82f235af875b7c2e33b4ff71ec5d85cc25eb2b4e
analytical_ris,128,34,,,0.147453,1,0,895cf8987087c169d7023476c078ebabf24f99fbbc30b65ad7fae1097d95a6fe,f4c80269e5fb3cf553900b2e82f235af875b7c2e33b4ff71ec5d85cc25eb2b4e
analytical_ris,128,35,,,0.143807,1,0,895cf8987087c169d7023476c078ebabf24f99fbbc30b65ad7fae1097d95a6fe,f4c80269e5fb3cf553900b2e82f235af875b7c2e33b4ff71ec5d85cc25eb2b4e
analytical_ris,128,36,,,0.143927,1,0,895cf8987087c169d7023476c078ebabf24f99fbbc30b65ad7fae1097d95a6fe,f4c80269e5fb3cf553900b2e82f235af875b7c2e33b4ff71ec5d85cc25eb2b4e
analytical_ris,128,37,,,0.142515,1,0,895cf8987087c169d7023476c078ebabf24f99fbbc30b65ad7fae1097d95a6fe,f4c80269e5fb3cf553900b2e82f235af875b7c2e33b4ff71ec5d85cc25eb2b4e
analytical_ris,128,38,,,0.146271,1,0,895cf8987087c169d7023476c078ebabf24f99fbbc30b65ad7fae1097d95a6fe,f4c80269e5fb3cf553900b2e82f235af875b7c2e33b4ff71ec5d85cc25eb2b4e
analytical_ris,128,39,,,0.160122,1,0,895cf8987087c169d7023476c078ebabf24f99fbbc30b65ad7fae1097d95a6fe,f4c80269e5fb3cf553900b2e82f235af875b7c2e33b4ff71ec5d85cc25eb2b4e
analytical_ris,128,40,,,0.142855,1,0,895cf8987087c169d7023476c078ebabf24f99fbbc30b65ad7fae1097d95a6fe,f4c80269e5fb3cf553900b2e82f235af875b7c2e33b4ff71ec5d85cc25eb2b4e
analytical_ris,128,41,,,0.136015,1,0,895cf8987087c169d7023476c078ebabf24f99fbbc30b65ad7fae1097d95a6fe,f4c80269e5fb3cf553900b2e82f235af875b7c2e33b4ff71ec5d85cc25eb2b4e
analytical_ris,128,42,,,0.162836,1,0,895cf8987087c169d7023476c078ebabf24f99fbbc30b65ad7fae1097d95a6fe,f4c80269e5fb3cf553900b2e82f235af875b7c2e33b4ff71ec5d85cc25eb2b4e
analytical_ris,128,43,,,0.159451,1,0,895cf8987087c169d7023476c078ebabf24f99fbbc30b65ad7fae1097d95a6fe,f4c80269e5fb3cf553900b2e82f235af875b7c2e33b4ff71ec5d85cc25eb2b4e
analytical_ris,128,44,,,0.159381,1,0,895cf8987087c169d7023476c078ebabf24f99fbbc30b65ad7fae1097d95a6fe,f4c80269e5fb3cf553900b2e82f235af875b7c2e33b4ff71ec5d85cc25eb2b4e
analytical_ris,128,45,,,0.146091,1,0,895cf8987087c169d7023476c078ebabf24f99fbbc30b65ad7fae1097d95a6fe,f4c80269e5fb3cf553900b2e82f235af875b7c2e33b4ff71ec5d85cc25eb2b4e
analytical_ris,128,46,,,0.146391,1,0,895cf8987087c169d7023476c078ebabf24f99fbbc30b65ad7fae1097d95a6fe,f4c80269e5fb3cf553900b2e82f235af875b7c2e33b4ff71ec5d85cc25eb2b4e
analytical_ris,128,47,,,0.142455,1,0,895cf8987087c169d7023476c078ebabf24f99fbbc30b65ad7fae1097d95a6fe,f4c80269e5fb3cf553900b2e82f235af875b7c2e33b4ff71ec5d85cc25eb2b4e
analytical_ris,128,48,,,0.150608,1,0,895cf8987087c169d7023476c078ebabf24f99fbbc30b65ad7fae1097d95a6fe,f4c80269e5fb3cf553900b2e82f235af875b7c2e33b4ff71ec5d85cc25eb2b4e
analytical_ris,128,49,,,0.148385,1,0,895cf8987087c169d7023476c078ebabf24f99fbbc30b65ad7fae1097d95a6fe,f4c80269e5fb3cf553900b2e82f235af875b7c2e33b4ff71ec5d85cc25eb2b4e
analytical_ris,128,50,,,0.147794,1,0,895cf8987087c169d7023476c078ebabf24f99fbbc30b65ad7fae1097d95a6fe,f4c80269e5fb3cf553900b2e82f235af875b7c2e33b4ff71ec5d85cc25eb2b4e
analytical_ris,128,51,,,0.144999,1,0,895cf8987087c169d7023476c078ebabf24f99fbbc30b65ad7fae1097d95a6fe,f4c80269e5fb3cf553900b2e82f235af875b7c2e33b4ff71ec5d85cc25eb2b4e
analytical_ris,128,52,,,0.146972,1,0,895cf8987087c169d7023476c078ebabf24f99fbbc30b65ad7fae1097d95a6fe,f4c80269e5fb3cf553900b2e82f235af875b7c2e33b4ff71ec5d85cc25eb2b4e
analytical_ris,128,53,,,0.150537,1,0,895cf8987087c169d7023476c078ebabf24f99fbbc30b65ad7fae1097d95a6fe,f4c80269e5fb3cf553900b2e82f235af875b7c2e33b4ff71ec5d85cc25eb2b4e
analytical_ris,128,54,,,0.184349,1,0,895cf8987087c169d7023476c078ebabf24f99fbbc30b65ad7fae1097d95a6fe,f4c80269e5fb3cf553900b2e82f235af875b7c2e33b4ff71ec5d85cc25eb2b4e
analytical_ris,128,55,,,0.151929,1,0,895cf8987087c169d7023476c078ebabf24f99fbbc30b65ad7fae1097d95a6fe,f4c80269e5fb3cf553900b2e82f235af875b7c2e33b4ff71ec5d85cc25eb2b4e
