method,n_ris,seed,scenario,split,sum_rate,reward,qos_fraction,all_qos,violation,iterations,evaluations,accepted_steps,solver,initialization,objective_history,surrogate_records,grid,solve_ms,config_hash,git_commit,bank_checksum
ao_sca,16,10000,0,test,12.743826491637542,12.743826491637542,1.0,True,0.0,5,662,6,ao_sca_proximal_physical,analytical_ris_equal_allocation,"[1.8306694710280784, 11.529015258682639, 12.57844054789707, 12.709299759220869, 12.743651592563205, 12.743826491637542]","[{""block"": ""rsma"", ""rho"": 1.0, ""gain"": 9.01980472340209}, {""block"": ""star_ris"", ""rho"": 2.0, ""gain"": 0.6785410642524692}, {""block"": ""rsma"", ""rho"": 65536.0, ""gain"": 0.0}, {""block"": ""star_ris"", ""rho"": 2.0, ""gain"": 1.0494252892144313}, {""block"": ""rsma"", ""rho"": 65536.0, ""gain"": 0.0}, {""block"": ""star_ris"", ""rho"": 512.0, ""gain"": 0.13085921132379852}, {""block"": ""rsma"", ""rho"": 65536.0, ""gain"": 0.0}, {""block"": ""star_ris"", ""rho"": 8.0, ""gain"": 0.03435183334233649}, {""block"": ""rsma"", ""rho"": 65536.0, ""gain"": 0.0}, {""block"": ""star_ris"", ""rho"": 128.0, ""gain"": 0.00017489907433621}]",{},351.988617,ebd605c7656308e79f486476ed71990b8de1f5e7e74875072300d3e4ab7e7ba2,fc61d5cda7da39530055bae9bd0e92865f995cd9,ee98d51d23f2f29facb379bf4250dad3e33d568085dfd332a582372e84151ce7
ao_sca,16,10000,1,test,15.485042154180237,15.485042154180237,1.0,True,0.0,20,2497,32,ao_sca_proximal_physical,analytical_ris_equal_allocation,"[1.82673541913052, 10.268090920615547, 11.469179600371556, 11.912645173504425, 12.037521512465759, 12.092107327288597, 12.104877861226342, 12.187744320559112, 12.224595643622333, 12.313995185790858, 14.133565212943942, 14.948010653837297, 15.079294183912488, 15.201905851177663, 15.225269205390067, 15.238954595510108, 15.275797733607568, 15.328410098251547, 15.360568853022528, 15.432617994774281, 15.485042154180237]","[{""block"": ""rsma"", ""rho"": 1.0, ""gain"": 8.238634625940438}, {""block"": ""star_ris"", ""rho"": 2.0, ""gain"": 0.20272087554458906}, {""block"": ""rsma"", ""rho"": 65536.0, ""gain"": 0.0}, {""block"": ""star_ris"", ""rho"": 1.0, ""gain"": 1.2010886797560083}, {""block"": ""rsma"", ""rho"": 65536.0, ""gain"": 0.0}, {""block"": ""star_ris"", ""rho"": 8.0, ""gain"": 0.44346557313286894}, {""block"": ""rsma"", ""rho"": 65536.0, ""gain"": 0.0}, {""block"": ""star_ris"", ""rho"": 16.0, ""gain"": 0.1248763389613341}, {""block"": ""rsma"", ""rho"": 65536.0, ""gain"": 0.0}, {""block"": ""star_ris"", ""rho"": 32.0, ""gain"": 0.054585814822837975}, {""block"": ""rsma"", ""rho"": 65536.0, ""gain"": 0.0}, {""block"": ""star_ris"", ""rho"": 128.0, ""gain"": 0.012770533937745299}, {""block"": ""rsma"", ""rho"": 65536.0, ""gain"": 0.0}, {""block"": ""star_ris"", ""rho"": 8.0, ""gain"": 0.08286645933277015}, {""block"": ""rsma"", ""rho"": 65536.0, ""gain"": 0.0}, {""block"": ""star_ris"", ""rho"": 64.0, ""gain"": 0.03685132306322103}, {""block"": ""rsma"", ""rho"": 65536.0, ""gain"": 0.0}, {""block"": ""star_ris"", ""rho"": 8.0, ""gain"": 0.08939954216852541}, {""block"": ""rsma"", ""rho"": 2048.0, ""gain"": 0.5556048500009201}, {""block"": ""star_ris"", ""rho"": 1.0, ""gain"": 1.2639651771521638}, {""block"": ""rsma"", ""rho"": 128.0, ""gain"": 0.6682455297250449}, {""block"": ""star_ris"", ""rho"": 1.0, ""gain"": 0.14619991116830988}, {""block"": ""rsma"", ""rho"": 1.0, ""gain"": 0.005620243199812691}, {""block"": ""star_ris"", ""rho"": 1.0, ""gain"": 0.12566328687537798}, {""block"": ""rsma"", ""rho"": 1.0, ""gain"": 0.007225416689372821}, {""block"": ""star_ris"", ""rho"": 1.0, ""gain"": 0.11538625057580276}, {""block"": ""rsma"", ""rho"": 1.0, ""gain"": 0.0012303270617639583}, {""block"": ""star_ris"", ""rho"": 4.0, ""gain"": 0.02213302715063925}, {""block"": ""rsma"", ""rho"": 1.0, ""gain"": 0.00036780701213778855}, {""block"": ""star_ris"", ""rho"": 8.0, ""gain"": 0.013317583107903985}, {""block"": ""rsma"", ""rho"": 1.0, ""gain"": 0.00033114957503244113}, {""block"": ""star_ris"", ""rho"": 2.0, ""gain"": 0.03651198852242743}, {""block"": ""rsma"", ""rho"": 1.0, ""gain"": 0.0003652063055170629}, {""block"": ""star_ris"", ""rho"": 1.0, ""gain"": 0.05224715833846183}, {""block"": ""rsma"", ""rho"": 1.0, ""gain"": 0.00020468639835335978}, {""block"": ""star_ris"", ""rho"": 1.0, ""gain"": 0.031954068372627376}, {""block"": ""rsma"", ""rho"": 1.0, ""gain"": 0.0003629359064998283}, {""block"": ""star_ris"", ""rho"": 1.0, ""gain"": 0.07168620584525343}, {""block"": ""rsma"", ""rho"": 1.0, ""gain"": 0.0003129480455292821}, {""block"": ""star_ris"", ""rho"": 1.0, ""gain"": 0.05211121136042607}]",{},1294.863824,ebd605c7656308e79f486476ed71990b8de1f5e7e74875072300d3e4ab7e7ba2,fc61d5cda7da39530055bae9bd0e92865f995cd9,ee98d51d23f2f29facb379bf4250dad3e33d568085dfd332a582372e84151ce7
ao_sca,16,10000,2,test,12.508991779804855,12.508991779804855,1.0,True,0.0,14,1908,15,ao_sca_proximal_physical,analytical_ris_equal_allocation,"[1.8300692375800949, 11.143700450363927, 12.005954168383095, 12.059380273510905, 12.11374700155632, 12.139772043299516, 12.15251850296145, 12.25656056058153, 12.35921895060833, 12.419185266667062, 12.44767257319243, 12.480407260386977, 12.488984667505619, 12.508318206536629, 12.508991779804857]","[{""block"": ""rsma"", ""rho"": 1.0, ""gain"": 8.689524475985483}, {""block"": ""star_ris"", ""rho"": 2.0, ""gain"": 0.6241067367983497}, {""block"": ""rsma"", ""rho"": 65536.0, ""gain"": 0.0}, {""block"": ""star_ris"", ""rho"": 128.0, ""gain"": 0.8622537180191685}, {""block"": ""rsma"", ""rho"": 65536.0, ""gain"": 0.0}, {""block"": ""star_ris"", ""rho"": 256.0, ""gain"": 0.05342610512781043}, {""block"": ""rsma"", ""rho"": 65536.0, ""gain"": 0.0}, {""block"": ""star_ris"", ""rho"": 128.0, ""gain"": 0.05436672804541409}, {""block"": ""rsma"", ""rho"": 65536.0, ""gain"": 0.0}, {""block"": ""star_ris"", ""rho"": 256.0, ""gain"": 0.026025041743196198}, {""block"": ""rsma"", ""rho"": 65536.0, ""gain"": 0.0}, {""block"": ""star_ris"", ""rho"": 512.0, ""gain"": 0.012746459661935106}, {""block"": ""rsma"", ""rho"": 65536.0, ""gain"": 0.0}, {""block"": ""star_ris"", ""rho"": 16.0, ""gain"": 0.10404205762007912}, {""block"": ""rsma"", ""rho"": 65536.0, ""gain"": 0.0}, {""block"": ""star_ris"", ""rho"": 32.0, ""gain"": 0.1026583900268001}, {""block"": ""rsma"", ""rho"": 65536.0, ""gain"": 0.0}, {""block"": ""star_ris"", ""rho"": 32.0, ""gain"": 0.05996631605873226}, {""block"": ""rsma"", ""rho"": 65536.0, ""gain"": 0.0}, {""block"": ""star_ris"", ""rho"": 64.0, ""gain"": 0.028487306525367018}, {""block"": ""rsma"", ""rho"": 65536.0, ""gain"": 0.0}, {""block"": ""star_ris"", ""rho"": 64.0, ""gain"": 0.03273468719454797}, {""block"": ""rsma"", ""rho"": 65536.0, ""gain"": 0.0}, {""block"": ""star_ris"", ""rho"": 128.0, ""gain"": 0.008577407118641744}, {""block"": ""rsma"", ""rho"": 65536.0, ""gain"": 0.0}, {""block"": ""star_ris"", ""rho"": 128.0, ""gain"": 0.01933353903100965}, {""block"": ""rsma"", ""rho"": 65536.0, ""gain"": 0.0}, {""block"": ""star_ris"", ""rho"": 256.0, ""gain"": 0.0006735732682283668}]",{},990.372724,ebd605c7656308e79f486476ed71990b8de1f5e7e74875072300d3e4ab7e7ba2,fc61d5cda7da39530055bae9bd0e92865f995cd9,ee98d51d23f2f29facb379bf4250dad3e33d568085dfd332a582372e84151ce7
ao_sca,16,10000,3,test,15.637215627142773,15.637215627142773,1.0,True,0.0,17,2046,32,ao_sca_proximal_physical,analytical_ris_equal_allocation,"[1.8309450617466885, 12.651144411515133, 12.822454273084322, 15.10501714096419, 15.322513559879901, 15.426090231267839, 15.498290751070956, 15.524570699152779, 15.531987142681835, 15.535362722766564, 15.537157395336937, 15.57530774311987, 15.594495319862384, 15.61192287445477, 15.62311088654018, 15.626145486576565, 15.636420454975466, 15.637215627142771]","[{""block"": ""rsma"", ""rho"": 1.0, ""gain"": 8.788007625976054}, {""block"": ""star_ris"", ""rho"": 4.0, ""gain"": 2.0321917237923905}, {""block"": ""rsma"", ""rho"": 65536.0, ""gain"": 0.0}, {""block"": ""star_ris"", ""rho"": 16.0, ""gain"": 0.17130986156918837}, {""block"": ""rsma"", ""rho"": 1024.0, ""gain"": 0.7407944681230809}, {""block"": ""star_ris"", ""rho"": 1.0, ""gain"": 1.541768399756787}, {""block"": ""rsma"", ""rho"": 65536.0, ""gain"": 0.0}, {""block"": ""star_ris"", ""rho"": 1.0, ""gain"": 0.2174964189157116}, {""block"": ""rsma"", ""rho"": 1.0, ""gain"": 6.438096084337985e-05}, {""block"": ""star_ris"", ""rho"": 1.0, ""gain"": 0.1035122904270942}, {""block"": ""rsma"", ""rho"": 1.0, ""gain"": 0.00021997212313529246}, {""block"": ""star_ris"", ""rho"": 1.0, ""gain"": 0.0719805476799813}, {""block"": ""rsma"", ""rho"": 1.0, ""gain"": 0.00039791386521947913}, {""block"": ""star_ris"", ""rho"": 2.0, ""gain"": 0.025882034216603955}, {""block"": ""rsma"", ""rho"": 1.0, ""gain"": 0.0002616661616041682}, {""block"": ""star_ris"", ""rho"": 8.0, ""gain"": 0.00715477736745207}, {""block"": ""rsma"", ""rho"": 1.0, ""gain"": 0.0003547960970529118}, {""block"": ""star_ris"", ""rho"": 16.0, ""gain"": 0.0030207839876759124}, {""block"": ""rsma"", ""rho"": 1.0, ""gain"": 0.00023518479541451143}, {""block"": ""star_ris"", ""rho"": 32.0, ""gain"": 0.0015594877749585123}, {""block"": ""rsma"", ""rho"": 1.0, ""gain"": 0.00023659623812122277}, {""block"": ""star_ris"", ""rho"": 1.0, ""gain"": 0.0379137515448118}, {""block"": ""rsma"", ""rho"": 1.0, ""gain"": 0.00028315864304673255}, {""block"": ""star_ris"", ""rho"": 1.0, ""gain"": 0.01890441809946708}, {""block"": ""rsma"", ""rho"": 1.0, ""gain"": 0.0002108801328333243}, {""block"": ""star_ris"", ""rho"": 1.0, ""gain"": 0.01721667445955255}, {""block"": ""rsma"", ""rho"": 1.0, ""gain"": 0.00019285113847011814}, {""block"": ""star_ris"", ""rho"": 1.0, ""gain"": 0.01099516094694053}, {""block"": ""rsma"", ""rho"": 2.0, ""gain"": 0.00011357362225972167}, {""block"": ""star_ris"", ""rho"": 1.0, ""gain"": 0.0029210264141248388}, {""block"": ""rsma"", ""rho"": 8.0, ""gain"": 2.7982964700967727e-05}, {""block"": ""star_ris"", ""rho"": 1.0, ""gain"": 0.01024698543420044}, {""block"": ""rsma"", ""rho"": 1024.0, ""gain"": 1.9937033712835728e-07}, {""block"": ""star_ris"", ""rho"": 1.0, ""gain"": 0.0007949727969673859}]",{},1184.874784,ebd605c7656308e79f486476ed71990b8de1f5e7e74875072300d3e4ab7e7ba2,fc61d5cda7da39530055bae9bd0e92865f995cd9,ee98d51d23f2f29facb379bf4250dad3e33d568085dfd332a582372e84151ce7
ao_sca,16,10000,4,test,16.96205426981195,16.96205426981195,1.0,True,0.0,8,1059,11,ao_sca_proximal_physical,analytical_ris_equal_allocation,"[1.8300344682157468, 12.333783427257082, 12.849934290903603, 15.773965480576033, 16.25934571091044, 16.2755269753083, 16.283462666428676, 16.961180003231178, 16.96205426981195]","[{""block"": ""rsma"", ""rho"": 1.0, ""gain"": 8.5145508063052}, {""block"": ""star_ris"", ""rho"": 8.0, ""gain"": 1.9891981527361349}, {""block"": ""rsma"", ""rho"": 65536.0, ""gain"": 0.0}, {""block"": ""star_ris"", ""rho"": 8.0, ""gain"": 0.5161508636465211}, {""block"": ""rsma"", ""rho"": 8192.0, ""gain"": 2.76182138663253}, {""block"": ""star_ris"", ""rho"": 8.0, ""gain"": 0.16220980303990018}, {""block"": ""rsma"", ""rho"": 128.0, ""gain"": 0.4516848738978734}, {""block"": ""star_ris"", ""rho"": 32.0, ""gain"": 0.033695356436535207}, {""block"": ""rsma"", ""rho"": 65536.0, ""gain"": 0.0}, {""block"": ""star_ris"", ""rho"": 64.0, ""gain"": 0.01618126439785783}, {""block"": ""rsma"", ""rho"": 65536.0, ""gain"": 0.0}, {""block"": ""star_ris"", ""rho"": 128.0, ""gain"": 0.007935691120376731}, {""block"": ""rsma"", ""rho"": 65536.0, ""gain"": 0.0}, {""block"": ""star_ris"", ""rho"": 1.0, ""gain"": 0.6777173368025018}, {""block"": ""rsma"", ""rho"": 65536.0, ""gain"": 0.0}, {""block"": ""star_ris"", ""rho"": 256.0, ""gain"": 0.0008742665807730532}]",{},533.882016,ebd605c7656308e79f486476ed71990b8de1f5e7e74875072300d3e4ab7e7ba2,fc61d5cda7da39530055bae9bd0e92865f995cd9,ee98d51d23f2f29facb379bf4250dad3e33d568085dfd332a582372e84151ce7
ao_sca,16,10000,5,test,16.10413746538548,16.10413746538548,1.0,True,0.0,14,1792,20,ao_sca_proximal_physical,analytical_ris_equal_allocation,"[1.836392791918246, 13.566661288579162, 13.812946186501236, 13.822857501222629, 13.83068233101492, 15.221978558857968, 15.426906369346586, 15.613804451642864, 15.785554207747623, 15.923392877370256, 16.024259899931437, 16.07705073270569, 16.082346578334718, 16.103595021997698, 16.10413746538548]","[{""block"": ""rsma"", ""rho"": 1.0, ""gain"": 11.580406567017777}, {""block"": ""star_ris"", ""rho"": 1.0, ""gain"": 0.14986192964313894}, {""block"": ""rsma"", ""rho"": 65536.0, ""gain"": 0.0}, {""block"": ""star_ris"", ""rho"": 32.0, ""gain"": 0.24628489792207375}, {""block"": ""rsma"", ""rho"": 65536.0, ""gain"": 0.0}, {""block"": ""star_ris"", ""rho"": 4096.0, ""gain"": 0.009911314721392728}, {""block"": ""rsma"", ""rho"": 65536.0, ""gain"": 0.0}, {""block"": ""star_ris"", ""rho"": 64.0, ""gain"": 0.007824829792291155}, {""block"": ""rsma"", ""rho"": 128.0, ""gain"": 0.9699500154082692}, {""block"": ""star_ris"", ""rho"": 1.0, ""gain"": 0.4213462124347789}, {""block"": ""rsma"", ""rho"": 65536.0, ""gain"": 0.0}, {""block"": ""star_ris"", ""rho"": 1.0, ""gain"": 0.20492781048861808}, {""block"": ""rsma"", ""rho"": 65536.0, ""gain"": 0.0}, {""block"": ""star_ris"", ""rho"": 1.0, ""gain"": 0.18689808229627758}, {""block"": ""rsma"", ""rho"": 65536.0, ""gain"": 0.0}, {""block"": ""star_ris"", ""rho"": 1.0, ""gain"": 0.1717497561047594}, {""block"": ""rsma"", ""rho"": 65536.0, ""gain"": 0.0}, {""block"": ""star_ris"", ""rho"": 1.0, ""gain"": 0.13783866962263325}, {""block"": ""rsma"", ""rho"": 65536.0, ""gain"": 0.0}, {""block"": ""star_ris"", ""rho"": 1.0, ""gain"": 0.10086702256118052}, {""block"": ""rsma"", ""rho"": 1.0, ""gain"": 0.00016602223041672914}, {""block"": ""star_ris"", ""rho"": 1.0, ""gain"": 0.052624810543836276}, {""block"": ""rsma"", ""rho"": 2.0, ""gain"": 0.0026568562806588147}, {""block"": ""star_ris"", ""rho"": 128.0, ""gain"": 0.0026389893483695914}, {""block"": ""rsma"", ""rho"": 1.0, ""gain"": 0.0003983094666928366}, {""block"": ""star_ris"", ""rho"": 1.0, ""gain"": 0.02085013419628723}, {""block"": ""rsma"", ""rho"": 8.0, ""gain"": 0.0002811792398347279}, {""block"": ""star_ris"", ""rho"": 64.0, ""gain"": 0.000261264147948026}]",{},909.104529,ebd605c7656308e79f486476ed71990b8de1f5e7e74875072300d3e4ab7e7ba2,fc61d5cda7da39530055bae9bd0e92865f995cd9,ee98d51d23f2f29facb379bf4250dad3e33d568085dfd332a582372e84151ce7
ao_sca,16,10000,6,test,16.800597156415442,16.800597156415442,1.0,True,0.0,15,1979,17,ao_sca_proximal_physical,analytical_ris_equal_allocation,"[1.8360552884600962, 13.28546831881064, 13.632271387083964, 14.236290442325629, 16.203740363602428, 16.49119185888801, 16.559327951287642, 16.604109392990217, 16.609758954879478, 16.61255183097553, 16.703285013175478, 16.730746611109126, 16.75573168307006, 16.779056627765154, 16.800384232226484, 16.800597156415442]","[{""block"": ""rsma"", ""rho"": 1.0, ""gain"": 11.104973854920047}, {""block"": ""star_ris"", ""rho"": 2.0, ""gain"": 0.3444391754304963}, {""block"": ""rsma"", ""rho"": 65536.0, ""gain"": 0.0}, {""block"": ""star_ris"", ""rho"": 1.0, ""gain"": 0.3468030682733243}, {""block"": ""rsma"", ""rho"": 65536.0, ""gain"": 0.0}, {""block"": ""star_ris"", ""rho"": 128.0, ""gain"": 0.6040190552416647}, {""block"": ""rsma"", ""rho"": 2048.0, ""gain"": 1.6038364465306305}, {""block"": ""star_ris"", ""rho"": 1.0, ""gain"": 0.36361347474616856}, {""block"": ""rsma"", ""rho"": 65536.0, ""gain"": 0.0}, {""block"": ""star_ris"", ""rho"": 1.0, ""gain"": 0.28745149528558045}, {""block"": ""rsma"", ""rho"": 65536.0, ""gain"": 0.0}, {""block"": ""star_ris"", ""rho"": 4.0, ""gain"": 0.0681360923996337}, {""block"": ""rsma"", ""rho"": 65536.0, ""gain"": 0.0}, {""block"": ""star_ris"", ""rho"": 8.0, ""gain"": 0.044781441702575364}, {""block"": ""rsma"", ""rho"": 65536.0, ""gain"": 0.0}, {""block"": ""star_ris"", ""rho"": 32.0, ""gain"": 0.005649561889260468}, {""block"": ""rsma"", ""rho"": 65536.0, ""gain"": 0.0}, {""block"": ""star_ris"", ""rho"": 64.0, ""gain"": 0.002792876096052055}, {""block"": ""rsma"", ""rho"": 65536.0, ""gain"": 0.0}, {""block"": ""star_ris"", ""rho"": 1.0, ""gain"": 0.09073318219994775}, {""block"": ""rsma"", ""rho"": 65536.0, ""gain"": 0.0}, {""block"": ""star_ris"", ""rho"": 1.0, ""gain"": 0.027461597933648108}, {""block"": ""rsma"", ""rho"": 65536.0, ""gain"": 0.0}, {""block"": ""star_ris"", ""rho"": 1.0, ""gain"": 0.024985071960934135}, {""block"": ""rsma"", ""rho"": 65536.0, ""gain"": 0.0}, {""block"": ""star_ris"", ""rho"": 1.0, ""gain"": 0.023324944695094274}, {""block"": ""rsma"", ""rho"": 65536.0, ""gain"": 0.0}, {""block"": ""star_ris"", ""rho"": 1.0, ""gain"": 0.021327604461330196}, {""block"": ""rsma"", ""rho"": 65536.0, ""gain"": 0.0}, {""block"": ""star_ris"", ""rho"": 256.0, ""gain"": 0.00021292418895768606}]",{},1041.649264,ebd605c7656308e79f486476ed71990b8de1f5e7e74875072300d3e4ab7e7ba2,fc61d5cda7da39530055bae9bd0e92865f995cd9,ee98d51d23f2f29facb379bf4250dad3e33d568085dfd332a582372e84151ce7
ao_sca,16,10000,7,test,15.051251513986386,15.051251513986386,1.0,True,0.0,17,2143,26,ao_sca_proximal_physical,analytical_ris_equal_allocation,"[1.8345576777508759, 12.354607685713209, 12.761033167014944, 12.77560734473915, 13.228619126919378, 14.46523397980234, 14.518095984373216, 14.540679329210716, 14.552450315095784, 14.557989951131177, 14.762523782077224, 14.89595781202926, 14.897732543839894, 14.980708773109711, 15.007982586536217, 15.030454604112112, 15.050846547878155, 15.051251513986386]","[{""block"": ""rsma"", ""rho"": 1.0, ""gain"": 10.403163349987793}, {""block"": ""star_ris"", ""rho"": 1.0, ""gain"": 0.11688665797453979}, {""block"": ""rsma"", ""rho"": 65536.0, ""gain"": 0.0}, {""block"": ""star_ris"", ""rho"": 4.0, ""gain"": 0.40642548130173495}, {""block"": ""rsma"", ""rho"": 65536.0, ""gain"": 0.0}, {""block"": ""star_ris"", ""rho"": 64.0, ""gain"": 0.01457417772420655}, {""block"": ""rsma"", ""rho"": 65536.0, ""gain"": 0.0}, {""block"": ""star_ris"", ""rho"": 2.0, ""gain"": 0.4530117821802282}, {""block"": ""rsma"", ""rho"": 1024.0, ""gain"": 1.11090502744233}, {""block"": ""star_ris"", ""rho"": 4.0, ""gain"": 0.12570982544063192}, {""block"": ""rsma"", ""rho"": 65536.0, ""gain"": 0.0}, {""block"": ""star_ris"", ""rho"": 8.0, ""gain"": 0.05286200457087631}, {""block"": ""rsma"", ""rho"": 65536.0, ""gain"": 0.0}, {""block"": ""star_ris"", ""rho"": 16.0, ""gain"": 0.022583344837499908}, {""block"": ""rsma"", ""rho"": 65536.0, ""gain"": 0.0}, {""block"": ""star_ris"", ""rho"": 32.0, ""gain"": 0.011770985885068086}, {""block"": ""rsma"", ""rho"": 65536.0, ""gain"": 0.0}, {""block"": ""star_ris"", ""rho"": 64.0, ""gain"": 0.005539636035392093}, {""block"": ""rsma"", ""rho"": 65536.0, ""gain"": 0.0}, {""block"": ""star_ris"", ""rho"": 1.0, ""gain"": 0.2045338309460476}, {""block"": ""rsma"", ""rho"": 1.0, ""gain"": 1.07297601026346e-06}, {""block"": ""star_ris"", ""rho"": 1.0, ""gain"": 0.13343295697602642}, {""block"": ""rsma"", ""rho"": 1.0, ""gain"": 2.2398229939213365e-05}, {""block"": ""star_ris"", ""rho"": 64.0, ""gain"": 0.001752333580693488}, {""block"": ""rsma"", ""rho"": 1.0, ""gain"": 2.3953038249757697e-05}, {""block"": ""star_ris"", ""rho"": 1.0, ""gain"": 0.08295227623156798}, {""block"": ""rsma"", ""rho"": 1.0, ""gain"": 0.00015816495145060117}, {""block"": ""star_ris"", ""rho"": 1.0, ""gain"": 0.02711564847505521}, {""block"": ""rsma"", ""rho"": 1.0, ""gain"": 3.6587015733502426e-05}, {""block"": ""star_ris"", ""rho"": 1.0, ""gain"": 0.022435430560161507}, {""block"": ""rsma"", ""rho"": 1.0, ""gain"": 4.162711650579354e-05}, {""block"": ""star_ris"", ""rho"": 1.0, ""gain"": 0.020350316649537348}, {""block"": ""rsma"", ""rho"": 2.0, ""gain"": 0.00011310129863062457}, {""block"": ""star_ris"", ""rho"": 16.0, ""gain"": 0.0002918648096006393}]",{},1113.774548,ebd605c7656308e79f486476ed71990b8de1f5e7e74875072300d3e4ab7e7ba2,fc61d5cda7da39530055bae9bd0e92865f995cd9,ee98d51d23f2f29facb379bf4250dad3e33d568085dfd332a582372e84151ce7
ao_sca,16,10000,8,test,14.551177857524408,14.551177857524408,1.0,True,0.0,10,1212,18,ao_sca_proximal_physical,analytical_ris_equal_allocation,"[1.836677626864867, 14.143685965946574, 14.150675480941626, 14.396406205122059, 14.496585561951619, 14.533551277954782, 14.538057031710508, 14.541951420890888, 14.54464054489575, 14.550274383816976, 14.551177857524408]","[{""block"": ""rsma"", ""rho"": 1.0, ""gain"": 11.784885709315814}, {""block"": ""star_ris"", ""rho"": 4.0, ""gain"": 0.5221226297658923}, {""block"": ""rsma"", ""rho"": 1.0, ""gain"": 0.0}, {""block"": ""star_ris"", ""rho"": 4.0, ""gain"": 0.006989514995051849}, {""block"": ""rsma"", ""rho"": 1.0, ""gain"": -1.7763568394002505e-15}, {""block"": ""star_ris"", ""rho"": 8.0, ""gain"": 0.24573072418043473}, {""block"": ""rsma"", ""rho"": 1.0, ""gain"": 1.7763568394002505e-15}, {""block"": ""star_ris"", ""rho"": 16.0, ""gain"": 0.10017935682955859}, {""block"": ""rsma"", ""rho"": 1.0, ""gain"": 0.0}, {""block"": ""star_ris"", ""rho"": 32.0, ""gain"": 0.036965716003162896}, {""block"": ""rsma"", ""rho"": 1.0, ""gain"": 0.0}, {""block"": ""star_ris"", ""rho"": 128.0, ""gain"": 0.004505753755726261}, {""block"": ""rsma"", ""rho"": 1.0, ""gain"": -1.7763568394002505e-15}, {""block"": ""star_ris"", ""rho"": 128.0, ""gain"": 0.003894389180381097}, {""block"": ""rsma"", ""rho"": 1.0, ""gain"": 3.552713678800501e-15}, {""block"": ""star_ris"", ""rho"": 128.0, ""gain"": 0.002689124004858101}, {""block"": ""rsma"", ""rho"": 1.0, ""gain"": -3.552713678800501e-15}, {""block"": ""star_ris"", ""rho"": 128.0, ""gain"": 0.005633838921230705}, {""block"": ""rsma"", ""rho"": 1.0, ""gain"": 0.0}, {""block"": ""star_ris"", ""rho"": 128.0, ""gain"": 0.0009034737074316013}]",{},623.960106,ebd605c7656308e79f486476ed71990b8de1f5e7e74875072300d3e4ab7e7ba2,fc61d5cda7da39530055bae9bd0e92865f995cd9,ee98d51d23f2f29facb379bf4250dad3e33d568085dfd332a582372e84151ce7
ao_sca,16,10000,9,test,13.81928273692646,13.81928273692646,1.0,True,0.0,4,479,8,ao_sca_proximal_physical,analytical_ris_equal_allocation,"[1.8341208072471031, 13.426475944846604, 13.49904691388799, 13.817942456162141, 13.81928273692646]","[{""block"": ""rsma"", ""rho"": 1.0, ""gain"": 9.959650131850468}, {""block"": ""star_ris"", ""rho"": 1.0, ""gain"": 1.6327050057490329}, {""block"": ""rsma"", ""rho"": 1.0, ""gain"": 0.0}, {""block"": ""star_ris"", ""rho"": 4.0, ""gain"": 0.07257096904138471}, {""block"": ""rsma"", ""rho"": 1.0, ""gain"": 1.7763568394002505e-15}, {""block"": ""star_ris"", ""rho"": 8.0, ""gain"": 0.3188955422741504}, {""block"": ""rsma"", ""rho"": 1.0, ""gain"": -1.7763568394002505e-15}, {""block"": ""star_ris"", ""rho"": 512.0, ""gain"": 0.0013402807643210224}]",{},242.696603,ebd605c7656308e79f486476ed71990b8de1f5e7e74875072300d3e4ab7e7ba2,fc61d5cda7da39530055bae9bd0e92865f995cd9,ee98d51d23f2f29facb379bf4250dad3e33d568085dfd332a582372e84151ce7
