n_ris,scenarios,bank_checksum,td3_mean_ms,td3_median_ms,td3_std_ms,td3_p95_ms,td3_p99_ms,ao_sca_mean_ms,ao_sca_median_ms,ao_sca_std_ms,ao_sca_p95_ms,ao_sca_p99_ms,ao_grid_mean_ms,ao_grid_median_ms,ao_grid_std_ms,ao_grid_p95_ms,ao_grid_p99_ms,analytical_ris_mean_ms,analytical_ris_median_ms,analytical_ris_std_ms,analytical_ris_p95_ms,analytical_ris_p99_ms,ao_sca_over_td3,ao_grid_over_td3,analytical_ris_over_td3
16,1000,ee98d51d23f2f29facb379bf4250dad3e33d568085dfd332a582372e84151ce7,0.5084030308999999,0.5011399,0.039581292960589064,0.55801198,0.642812647,449.4910025,461.856303,159.05423880161877,656.52365045,688.55479014,152.09018043400002,150.6500785,6.672263580496968,164.5694577,177.37676640999996,0.245229113,0.2404685,0.030656388475790972,0.29286355,0.33976027,884.123372955289,299.1527807471221,0.482351791974732
32,1000,6ec54735c1c2c35cd253d9d3d23295783293b6d64c65204dfcab16b2d59ebbef,0.52946751375,0.522895425,0.036891853217007664,0.58621115,0.6494037064999999,753.6423655399999,776.190573,295.23528433569464,1123.00022365,1164.21687467,270.81972554600003,268.3438195,11.094899533544902,291.49659125,316.12270612,0.248157954,0.243486,0.032426912116593855,0.2996902,0.3532622299999999,1423.3968014435143,511.4945081859614,0.4686934468224491
64,1000,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae,0.5677642925999999,0.563452125,0.03928121691656423,0.63275919,0.686974558,1255.103558593,1227.8146004999999,584.1074133538257,2122.9831292,2216.8630848999996,536.178579013,531.6896305,21.814104371625646,577.56144665,602.2229819400001,0.26113199400000003,0.2557485,0.039245212823674935,0.3122662,0.41114216999999986,2210.6067164692986,944.3682633820499,0.4599302869227322
96,1000,4e84455d08cacd9f85c432f7838c3be2cb0f000b55edc3487c6dee9520cc0b63,0.61360157445,0.6037376249999999,0.05763111263893815,0.7108441924999996,0.7716955615000001,1876.1147819799999,1856.514727,901.6059189006314,3298.2846901499997,3520.35984358,831.27642619,819.546281,44.39988150202716,925.0348243,1005.94946863,0.27442695100000003,0.264897,0.04089577576635674,0.3363308,0.4058729899999999,3057.5455802271204,1354.749500007578,0.4472396460944251
128,1000,f4c80269e5fb3cf553900b2e82f235af875b7c2e33b4ff71ec5d85cc25eb2b4e,0.66777764175,0.653832025,0.06208426362848746,0.7732401775,0.8395274505,2464.390315812,2298.8251925,1271.7162600411125,4622.7325439999995,5165.468653829999,1167.2340303520002,1137.518028,79.85596835496828,1332.43776295,1376.09781857,0.28991933700000005,0.281052,0.038803401662560674,0.35398194999999993,0.40772114,3690.435500885801,1747.9381718937286,0.4341555015831736
