method,n_ris,scenarios,solve_ms_mean,solve_ms_std,solve_ms_median,solve_ms_p95,solve_ms_p99
analytical_ris,16,1000,0.319380294,0.48316415948263186,0.287652,0.3624848,0.5120817099999998
analytical_ris,32,1000,0.30780561,0.06939194628954971,0.2899865,0.40448304999999984,0.65962846
analytical_ris,64,1000,0.335417911,0.04859666252890241,0.3270845,0.41213959999999994,0.52640945
analytical_ris,96,1000,0.352364566,0.06752888177741248,0.338489,0.4465306499999999,0.6556203299999999
analytical_ris,128,1000,0.38762256500000003,0.0712854363551358,0.375429,0.48600219999999983,0.7396078199999998
ao_grid,16,1000,304.952682706,12.599571983657967,302.4754155,329.2021544,354.48700164999997
ao_grid,32,1000,552.841870232,18.65894370145484,549.7247605,587.331098,626.10384269
ao_grid,64,1000,1109.130463321,39.04217870361587,1106.30703,1171.87891025,1249.09006507
ao_grid,96,1000,1670.360706527,45.77474510303207,1667.146151,1750.98531025,1806.57977842
ao_grid,128,1000,2190.3401319920004,116.11231577318398,2185.186836,2322.7663129499997,2357.26581572
ao_sca,16,1000,904.767272435,320.96349508622063,927.792578,1323.68953735,1374.27055252
ao_sca,32,1000,1572.7427653450002,614.9373923734927,1632.4434595,2336.65829985,2425.29813736
ao_sca,64,1000,2636.215988195,1223.4885700425566,2603.9314864999997,4422.6969867,4625.73141997
ao_sca,96,1000,3682.2555308959995,1766.6925549028547,3597.966157,6493.436779299999,6759.3565412299995
ao_sca,128,1000,4559.844229699999,2379.745167709409,4309.8769805,8770.20480635,9093.26543557
