step,reward,environment_reward,sum_rate,qos_fraction,all_qos,violation,qos_dual,qos_violation_ema,qos_dual_updated,exploration_noise,critic_loss,actor_loss,effective_target_noise
1,-6.88683363011369,-6.88683363011369,2.127262428731997,0.5,False,0.7942199350627792,8.0,0.7942199350627792,False,0.0,,,
1000,-2.328390349890376,-2.328390349890376,2.324186168028658,0.5,False,0.46657094049239844,8.0,0.6904039128263535,False,0.0,0.15631034970283508,0.0,0.15
2000,-4.1572924289987965,-4.1572924289987965,8.271589743543196,0.25,False,1.0975970858467008,8.0,0.7316119218946304,False,0.0,0.11778850108385086,0.0,0.15
3000,4.8737008697526605,4.8737008697526605,10.87370086975266,0.75,False,0.5,17.219317829535548,0.46196589147677747,True,0.1173,0.6085765361785889,0.0,0.15
4000,-4.19757462187636,0.41208429289141435,6.412084292891414,0.75,False,0.5,24.363930587765157,0.35823063791148047,True,0.11639999999999999,1.1926045417785645,0.0,0.15
5000,-1.7505360472935845,6.431429246588994,12.431429246588994,0.75,False,0.5,35.89515209605871,0.5775610754146776,True,0.11549999999999999,2.6549901962280273,0.0,0.15
6000,-11.014618107564093,2.9329579404652613,8.932957940465261,0.75,False,0.5,42.3273804897651,0.3226114196853193,True,0.1146,3.7708325386047363,0.0,0.15
7000,13.513803415796515,13.513803415796515,13.513803415796515,1.0,True,0.0,48.814323032040036,0.3253471271137468,True,0.1137,5.276015281677246,0.0,0.15
8000,-5.100745180442743,0.755854327948744,1.9593991484340538,0.25,False,0.14349373144800032,57.21394057188536,0.4209808769922663,True,0.1128,7.297323703765869,0.0,0.15
9000,-19.52694524860319,5.080025037339489,11.080025037339489,0.75,False,0.5,63.66775135796419,0.3236905393039417,True,0.1119,10.709217071533203,0.0,0.15
10000,13.887449332381113,13.887449332381113,13.887449332381113,1.0,True,0.0,64.0,0.3369921663496329,True,0.111,10.919119834899902,0.0,0.15
11000,12.42593714615303,12.42593714615303,12.42593714615303,1.0,True,0.0,64.0,0.36578402122958575,True,0.1101,12.33810806274414,0.0,0.15
12000,-23.666699495350088,4.333300504649911,10.33330050464991,0.75,False,0.5,64.0,0.381906211969452,True,0.10919999999999999,10.476419448852539,0.0,0.15
13000,10.680095497899796,10.680095497899796,10.680095497899796,1.0,True,0.0,64.0,0.35750930807713016,True,0.1083,12.13102912902832,0.0,0.15
14000,-28.117525149167818,-0.11752514916781998,5.88247485083218,0.75,False,0.5,64.0,0.36942225203833634,True,0.1074,12.467900276184082,0.0,0.15
15000,6.10372015868792,13.022260534093787,14.132731100289833,0.75,False,0.12354536384653336,64.0,0.3095316947873781,True,0.1065,12.254077911376953,0.0,0.15
16000,-4.986251218504221,3.952552487017519,5.433356617617179,0.75,False,0.15962149474145965,64.0,0.27282883555307214,True,0.1056,15.25493049621582,0.0,0.15
17000,7.388848215534308,7.388848215534308,7.388848215534308,1.0,True,0.0,64.0,0.2715144131874216,True,0.10469999999999999,11.79485034942627,0.0,0.15
18000,-15.903458005126438,7.111632398987181,11.750763646282808,0.75,False,0.41098375721631464,64.0,0.28130013341294224,True,0.1038,12.729106903076172,0.0,0.15
19000,-25.691087289636933,0.4956125777502154,5.985914727031578,0.75,False,0.4676196404890562,64.0,0.2903380967738056,True,0.10289999999999999,13.826756477355957,0.0,0.15
20000,-21.570029661728086,-0.9045527416001717,2.5037572275608975,0.25,False,0.3690263735737127,64.0,0.21682518773158987,True,0.102,14.861640930175781,0.0,0.15
21000,11.957315453888715,11.957315453888715,11.957315453888715,1.0,True,0.0,64.0,0.1727603870090835,True,0.1011,12.977471351623535,0.0,0.15
22000,-25.544615428035925,2.455384571964075,8.455384571964075,0.75,False,0.5,64.0,0.235988994530549,True,0.1002,16.839527130126953,0.0,0.15
23000,6.963396965297046,13.808770771647623,14.906219944362682,0.75,False,0.12223881797054603,64.0,0.21295029015278696,True,0.0993,12.33009147644043,0.0,0.15
24000,-27.544025610858824,0.4559743891411756,6.455974389141176,0.75,False,0.5,64.0,0.1959876465148755,True,0.0984,15.675346374511719,0.0,0.15
25000,9.067691982974292,9.067691982974292,9.067691982974292,1.0,True,0.0,64.0,0.12757749568384438,True,0.0975,15.822479248046875,0.0,0.15
26000,11.569614118401834,11.569614118401834,11.569614118401834,1.0,True,0.0,64.0,0.11676077743872366,True,0.09659999999999999,14.621395111083984,0.0,0.15
27000,12.891349385294749,12.891349385294749,12.891349385294749,1.0,True,0.0,64.0,0.12153754294016726,True,0.0957,14.557910919189453,0.0,0.15
28000,12.527713666281624,12.527713666281624,12.527713666281624,1.0,True,0.0,64.0,0.12785445213392313,True,0.0948,15.515619277954102,0.0,0.15
29000,11.415202249508868,11.415202249508868,11.415202249508868,1.0,True,0.0,64.0,0.12951859247626507,True,0.0939,15.113906860351562,0.0,0.15
30000,-6.227055239055212,5.256519640078436,7.2334397554767875,0.75,False,0.20506383712738657,64.0,0.11773705674601945,True,0.093,15.289037704467773,0.0,0.15
31000,9.636426069976794,9.636426069976794,9.636426069976794,1.0,True,0.0,64.0,0.12672458969247663,True,0.0921,16.0050048828125,0.0,0.15
32000,10.436619930063506,10.436619930063506,10.436619930063506,1.0,True,0.0,64.0,0.07781118757127292,True,0.0912,14.875267028808594,0.0,0.15
33000,11.985097902435083,11.985097902435083,11.985097902435083,1.0,True,0.0,64.0,0.14820067905842635,True,0.09029999999999999,16.74279022216797,0.0,0.15
34000,11.99344306685884,11.99344306685884,11.99344306685884,1.0,True,0.0,64.0,0.10354507973123937,True,0.0894,20.42192840576172,0.0,0.15
35000,-27.16876610483304,0.8312338951669584,6.8312338951669584,0.75,False,0.5,64.0,0.13492232759248257,True,0.0885,14.330951690673828,0.0,0.15
36000,9.315789151907254,9.315789151907254,9.315789151907254,1.0,True,0.0,64.0,0.04675222157687635,True,0.0876,17.960800170898438,0.0,0.15
37000,10.516349573630508,10.516349573630508,10.516349573630508,1.0,True,0.0,64.0,0.06443959323855604,True,0.0867,16.077404022216797,0.0,0.15
38000,9.2504806019663,9.2504806019663,9.2504806019663,1.0,True,0.0,64.0,0.07876301183609849,True,0.08579999999999999,17.739925384521484,0.0,0.15
39000,6.603273349302662,6.603273349302662,6.603273349302662,1.0,True,0.0,64.0,0.044487210635827536,True,0.0849,18.47631072998047,0.0,0.15
40000,-12.24689850952766,3.171860175400465,5.981014781880112,0.75,False,0.2753349765165737,64.0,0.05131914181148488,True,0.08399999999999999,20.838367462158203,0.0,0.15
41000,11.471881054189579,11.471881054189579,11.471881054189579,1.0,True,0.0,64.0,0.06615345387580243,True,0.08310000000000001,16.87806510925293,0.0,0.15
42000,11.85818402888526,11.85818402888526,11.85818402888526,1.0,True,0.0,64.0,0.07820215636602677,True,0.0822,19.647274017333984,0.0,0.15
43000,6.38140897512734,6.38140897512734,6.38140897512734,1.0,True,0.0,64.0,0.07026211722143215,True,0.0813,20.382530212402344,0.0,0.15
44000,11.68700306515105,11.68700306515105,11.68700306515105,1.0,True,0.0,64.0,0.01453501071350054,True,0.0804,16.63011932373047,0.0,0.15
45000,12.204720916034582,12.204720916034582,12.204720916034582,1.0,True,0.0,64.0,0.0530499118952789,True,0.07949999999999999,25.71739387512207,0.0,0.15
46000,-20.61485548493552,-1.0259948926723421,2.5837001145514416,0.5,False,0.3498010820046996,64.0,0.04728454900904449,True,0.0786,24.48493003845215,0.0,0.15
47000,6.9759402913499375,6.9759402913499375,6.9759402913499375,1.0,True,0.0,64.0,0.05027915413467091,True,0.07769999999999999,19.108722686767578,0.0,0.15
48000,11.052578472771005,11.052578472771005,11.052578472771005,1.0,True,0.0,64.0,0.016434364854828912,True,0.07680000000000001,19.621946334838867,0.0,0.15
49000,8.565900826617666,8.565900826617666,8.565900826617666,1.0,True,0.0,64.0,0.030109981286794655,True,0.0759,24.357524871826172,0.0,0.15
50000,-21.777848077104075,6.222151922895925,12.222151922895925,0.75,False,0.5,64.0,0.05055509072147557,True,0.075,16.568811416625977,0.0,0.15
51000,8.685696283149113,8.685696283149113,8.685696283149113,1.0,True,0.0,64.0,0.022975461974616918,True,0.0741,29.825836181640625,0.0,0.15
52000,10.443771984190036,10.443771984190036,10.443771984190036,1.0,True,0.0,64.0,0.03619733670830286,True,0.07319999999999999,23.004417419433594,0.0,0.15
53000,5.829222777920435,5.829222777920435,5.829222777920435,1.0,True,0.0,64.0,0.03592597139895527,True,0.0723,21.972667694091797,0.0,0.15
54000,14.219488006242443,14.219488006242443,14.219488006242443,1.0,True,0.0,64.0,0.012624335538182596,True,0.07139999999999999,18.994714736938477,0.0,0.15
55000,13.242854638420148,13.242854638420148,13.242854638420148,1.0,True,0.0,64.0,0.055993867298136525,True,0.0705,25.289342880249023,0.0,0.15
56000,9.984240532221694,9.984240532221694,9.984240532221694,1.0,True,0.0,64.0,0.06568627612760097,True,0.0696,15.837387084960938,0.0,0.15
57000,10.184817362262475,10.184817362262475,10.184817362262475,1.0,True,0.0,64.0,0.019576064342919516,True,0.06870000000000001,22.892911911010742,0.0,0.15
58000,6.684683992012816,6.684683992012816,6.684683992012816,1.0,True,0.0,64.0,0.027561539565969878,True,0.0678,17.725669860839844,0.0,0.15
59000,12.094144424053106,12.094144424053106,12.094144424053106,1.0,True,0.0,64.0,0.010963772126246558,True,0.0669,32.06324005126953,0.0,0.15
60000,-3.1127013473129796,6.6606890299673225,8.300558980463272,0.75,False,0.17452482816571968,64.0,0.05702058664740837,True,0.066,25.999130249023438,0.0,0.15
61000,11.433663367269174,11.433663367269174,11.433663367269174,1.0,True,0.0,64.0,0.005070461825248936,True,0.06509999999999999,30.064592361450195,0.0,0.15
62000,0.5823086137804679,5.085357155632143,5.780377983473894,0.75,False,0.0804115811044942,64.0,0.013895689802836998,True,0.06420000000000001,26.28644561767578,0.0,0.15
63000,10.880857250068502,10.880857250068502,10.880857250068502,1.0,True,0.0,64.0,0.03524401821177423,True,0.0633,25.06574821472168,0.0,0.15
64000,6.367439264129778,6.367439264129778,6.367439264129778,1.0,True,0.0,64.0,0.011069660627014546,True,0.0624,33.026092529296875,0.0,0.15
65000,8.10284884130928,8.10284884130928,8.10284884130928,1.0,True,0.0,64.0,0.012046296459105463,True,0.0615,17.90434455871582,0.0,0.15
66000,10.670966874774518,10.670966874774518,10.670966874774518,1.0,True,0.0,64.0,0.007025282181167246,True,0.060599999999999994,36.02323913574219,0.0,0.15
67000,12.220801203357302,12.220801203357302,12.220801203357302,1.0,True,0.0,64.0,0.027652877981139114,True,0.059699999999999996,29.72038459777832,0.0,0.15
68000,8.95272973034272,8.95272973034272,8.95272973034272,1.0,True,0.0,63.99811151426796,0.000905575713398173,True,0.05879999999999999,34.26817321777344,0.0,0.15
69000,8.71122599853887,8.71122599853887,8.71122599853887,1.0,True,0.0,64.0,0.0012657025958806903,True,0.0579,24.846050262451172,0.0,0.15
70000,11.792185623352012,11.792185623352012,11.792185623352012,1.0,True,0.0,64.0,0.008732541221030017,True,0.056999999999999995,23.229713439941406,0.0,0.15
71000,10.02877194618664,10.02877194618664,10.02877194618664,1.0,True,0.0,64.0,0.0029775289521710288,True,0.0561,23.426311492919922,0.0,0.15
72000,11.815205868452919,11.815205868452919,11.815205868452919,1.0,True,0.0,64.0,0.0019742065494282183,True,0.0552,32.69550323486328,0.0,0.15
73000,10.96307647925819,10.96307647925819,10.96307647925819,1.0,True,0.0,64.0,0.026502748958200366,True,0.0543,21.05043601989746,0.0,0.15
74000,12.981895831156038,12.981895831156038,12.981895831156038,1.0,True,0.0,64.0,0.004678943969832119,True,0.0534,25.795425415039062,0.0,0.15
75000,10.398626494954156,10.398626494954156,10.398626494954156,1.0,True,0.0,64.0,0.03527936119161303,True,0.05249999999999999,24.773265838623047,0.0,0.15
76000,6.426077856770263,6.426077856770263,6.426077856770263,1.0,True,0.0,64.0,0.008288571664836604,True,0.05159999999999999,39.138946533203125,0.0,0.15
77000,14.653245183909364,14.653245183909364,14.653245183909364,1.0,True,0.0,64.0,0.004650035880190927,True,0.050699999999999995,28.658723831176758,0.0,0.15
78000,13.619127560290675,13.619127560290675,13.619127560290675,1.0,True,0.0,64.0,0.0018401618552449546,True,0.0498,11.328697204589844,0.0,0.15
79000,11.972810776585614,11.972810776585614,11.972810776585614,1.0,True,0.0,63.989622951281426,0.0004811475640713119,True,0.0489,41.18888854980469,0.0,0.15
80000,12.11100804301861,12.11100804301861,12.11100804301861,1.0,True,0.0,63.972186245869885,0.00012816472942281322,True,0.048,40.95454406738281,0.0,0.15
81000,13.836474845391836,13.836474845391836,13.836474845391836,1.0,True,0.0,64.0,0.012039701915727738,True,0.04709999999999999,32.289527893066406,0.0,0.15
82000,13.57981288617343,13.57981288617343,13.57981288617343,1.0,True,0.0,64.0,0.0018436328718752302,True,0.046200000000000005,41.9466552734375,0.0,0.15
83000,11.858976376812445,11.858976376812445,11.858976376812445,1.0,True,0.0,64.0,0.007651825115849828,True,0.04530000000000001,31.16761589050293,0.0,0.15
84000,13.33182295968496,13.33182295968496,13.33182295968496,1.0,True,0.0,64.0,0.0016069035278660083,True,0.044399999999999995,22.085269927978516,0.0,0.15
85000,8.385900266816664,8.385900266816664,8.385900266816664,1.0,True,0.0,64.0,0.002697308553484402,True,0.0435,26.57185173034668,0.0,0.15
86000,8.850236371777829,8.850236371777829,8.850236371777829,1.0,True,0.0,64.0,0.00270329457222014,True,0.0426,55.931358337402344,0.0,0.15
87000,13.81515721721842,13.81515721721842,13.81515721721842,1.0,True,0.0,64.0,0.0011191487508727773,True,0.0417,26.411563873291016,0.0,0.15
88000,11.582967315479546,11.582967315479546,11.582967315479546,1.0,True,0.0,64.0,0.009643798147478656,True,0.0408,25.081958770751953,0.0,0.15
89000,10.897645793985694,10.897645793985694,10.897645793985694,1.0,True,0.0,63.980346935225896,1.7346761294903443e-05,True,0.03989999999999999,46.26000213623047,0.0,0.15
90000,12.301882098687264,12.301882098687264,12.301882098687264,1.0,True,0.0,63.99240055963665,0.0016026812205375814,True,0.03899999999999999,34.382606506347656,0.0,0.15
91000,12.979545687371626,12.979545687371626,12.979545687371626,1.0,True,0.0,64.0,0.010226563142493657,True,0.038099999999999995,31.486801147460938,0.0,0.15
92000,11.671386965373035,11.671386965373035,11.671386965373035,1.0,True,0.0,63.980588077463665,2.940387318328191e-05,True,0.0372,41.885623931884766,0.0,0.15
93000,10.788995115975196,10.788995115975196,10.788995115975196,1.0,True,0.0,63.9607102362329,6.107938461814959e-06,True,0.0363,43.61915588378906,0.0,0.15
94000,11.078168478740045,11.078168478740045,11.078168478740045,1.0,True,0.0,63.94077222909181,3.0996429455447305e-06,True,0.0354,35.44297409057617,0.0,0.15
95000,7.418669475187564,7.418669475187564,7.418669475187564,1.0,True,0.0,63.9491229779054,0.0014175374406792205,True,0.0345,17.886859893798828,0.0,0.15
