method,n_ris,scenario,inference_ms,evaluation_ms,solve_ms,cpu_threads,seed,config_hash,bank_checksum,latency_protocol
analytical_ris,16,21,,,0.139616,1,0,ebd605c7656308e79f486476ed71990b8de1f5e7e74875072300d3e4ab7e7ba2,ee98d51d23f2f29facb379bf4250dad3e33d568085dfd332a582372e84151ce7,single_thread_same_runner_warmup10_count100_v2
analytical_ris,16,22,,,0.134568,1,0,ebd605c7656308e79f486476ed71990b8de1f5e7e74875072300d3e4ab7e7ba2,ee98d51d23f2f29facb379bf4250dad3e33d568085dfd332a582372e84151ce7,single_thread_same_runner_warmup10_count100_v2
analytical_ris,16,23,,,0.137262,1,0,ebd605c7656308e79f486476ed71990b8de1f5e7e74875072300d3e4ab7e7ba2,ee98d51d23f2f29facb379bf4250dad3e33d568085dfd332a582372e84151ce7,single_thread_same_runner_warmup10_count100_v2
analytical_ris,16,24,,,0.130653,1,0,ebd605c7656308e79f486476ed71990b8de1f5e7e74875072300d3e4ab7e7ba2,ee98d51d23f2f29facb379bf4250dad3e33d568085dfd332a582372e84151ce7,single_thread_same_runner_warmup10_count100_v2
analytical_ris,16,25,,,0.126827,1,0,ebd605c7656308e79f486476ed71990b8de1f5e7e74875072300d3e4ab7e7ba2,ee98d51d23f2f29facb379bf4250dad3e33d568085dfd332a582372e84151ce7,single_thread_same_runner_warmup10_count100_v2
analytical_ris,16,26,,,0.125144,1,0,ebd605c7656308e79f486476ed71990b8de1f5e7e74875072300d3e4ab7e7ba2,ee98d51d23f2f29facb379bf4250dad3e33d568085dfd332a582372e84151ce7,single_thread_same_runner_warmup10_count100_v2
analytical_ris,16,27,,,0.132876,1,0,ebd605c7656308e79f486476ed71990b8de1f5e7e74875072300d3e4ab7e7ba2,ee98d51d23f2f29facb379bf4250dad3e33d568085dfd332a582372e84151ce7,single_thread_same_runner_warmup10_count100_v2
analytical_ris,16,28,,,0.117844,1,0,ebd605c7656308e79f486476ed71990b8de1f5e7e74875072300d3e4ab7e7ba2,ee98d51d23f2f29facb379bf4250dad3e33d568085dfd332a582372e84151ce7,single_thread_same_runner_warmup10_count100_v2
analytical_ris,16,29,,,0.121399,1,0,ebd605c7656308e79f486476ed71990b8de1f5e7e74875072300d3e4ab7e7ba2,ee98d51d23f2f29facb379bf4250dad3e33d568085dfd332a582372e84151ce7,single_thread_same_runner_warmup10_count100_v2
analytical_ris,16,30,,,0.123562,1,0,ebd605c7656308e79f486476ed71990b8de1f5e7e74875072300d3e4ab7e7ba2,ee98d51d23f2f29facb379bf4250dad3e33d568085dfd332a582372e84151ce7,single_thread_same_runner_warmup10_count100_v2
analytical_ris,16,31,,,0.128439,1,0,ebd605c7656308e79f486476ed71990b8de1f5e7e74875072300d3e4ab7e7ba2,ee98d51d23f2f29facb379bf4250dad3e33d568085dfd332a582372e84151ce7,single_thread_same_runner_warmup10_count100_v2
analytical_ris,16,32,,,0.123452,1,0,ebd605c7656308e79f486476ed71990b8de1f5e7e74875072300d3e4ab7e7ba2,ee98d51d23f2f29facb379bf4250dad3e33d568085dfd332a582372e84151ce7,single_thread_same_runner_warmup10_count100_v2
analytical_ris,16,33,,,0.116953,1,0,ebd605c7656308e79f486476ed71990b8de1f5e7e74875072300d3e4ab7e7ba2,ee98d51d23f2f29facb379bf4250dad3e33d568085dfd332a582372e84151ce7,single_thread_same_runner_warmup10_count100_v2
