method,n_ris,seed,best_validation_step,best_validation_feasible,initial_sum_rate,best_sum_rate,latest_sum_rate,learning_gain_best_minus_initial,latest_gain_minus_initial,best_all_qos,latest_all_qos,best_qos_fraction,best_violation,training_seconds,interactions_per_second,total_wall_seconds,device_name,peak_gpu_memory_mb,config_hash,test_bank_checksum,repository_commit,embedded_runtime_identifier,archive,archive_sha256
ddpg,64,0,0,True,4.540766669389579,4.540766669389579,11.329372321711766,0.0,6.788605652322187,1.0,0.547,1.0,0.0,721.599860087,138.58095813369954,731.8214539,Tesla T4,31.94677734375,97b65cce0f72ffe40b0575ec4d76bcf34beb5f36eb5188d6c71d7e623f342859,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae,ae3e2c2f7715ce184f98088b8526432e8e36b69c,fc61d5cda7da39530055bae9bd0e92865f995cd9,physical_v6_ddpg_n64_seed0.zip,f4770ce2aff895636e1ccca26167b4e7f632f80e75b8e0bf0a77a6bf70b3c4ca
ddpg,64,1,0,True,4.476511546656591,4.476511546656591,8.356426036386791,0.0,3.8799144897302007,1.0,0.0,1.0,0.0,677.9702842940001,147.49909002890053,687.71543481,Tesla T4,31.94677734375,97b65cce0f72ffe40b0575ec4d76bcf34beb5f36eb5188d6c71d7e623f342859,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae,ae3e2c2f7715ce184f98088b8526432e8e36b69c,fc61d5cda7da39530055bae9bd0e92865f995cd9,physical_v6_ddpg_n64_seed1.zip,497c6d0329ef721a0d5bd777519d6e43366829da90711a0eb8f7446aa2051368
ddpg,64,2,0,True,4.581813479323157,4.581813479323157,7.788006071809756,0.0,3.206192592486599,0.998,0.416,0.999,0.0010913149976849242,656.808102908,152.25147125507849,666.5749708019999,Tesla T4,31.94677734375,97b65cce0f72ffe40b0575ec4d76bcf34beb5f36eb5188d6c71d7e623f342859,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae,ae3e2c2f7715ce184f98088b8526432e8e36b69c,fc61d5cda7da39530055bae9bd0e92865f995cd9,physical_v6_ddpg_n64_seed2.zip,5693ff4e4aa282e2dce56ea82f25c96ee6d12ecb1aec82f93c395ae11e7463bb
ddpg,64,3,0,True,4.549669584681032,4.549669584681032,17.507242687502448,0.0,12.957573102821415,1.0,0.083,1.0,0.0,610.376603361,163.8332784208247,619.2468938760001,Tesla T4,31.94677734375,97b65cce0f72ffe40b0575ec4d76bcf34beb5f36eb5188d6c71d7e623f342859,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae,ae3e2c2f7715ce184f98088b8526432e8e36b69c,fc61d5cda7da39530055bae9bd0e92865f995cd9,physical_v6_ddpg_n64_seed3.zip,17c4da61938b865e9faa445017ed438954b9d8f837ee341ec19a49dcc60759b4
ddpg,64,4,25000,True,4.512179876866254,17.276549844920712,17.078004891798,12.764369968054458,12.565825014931745,1.0,0.999,1.0,0.0,653.062980336,153.12458830318346,662.535594187,Tesla T4,31.94677734375,97b65cce0f72ffe40b0575ec4d76bcf34beb5f36eb5188d6c71d7e623f342859,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae,ae3e2c2f7715ce184f98088b8526432e8e36b69c,fc61d5cda7da39530055bae9bd0e92865f995cd9,physical_v6_ddpg_n64_seed4.zip,2930e03370e16420fc8e8d2f676bb9ff9d7d48d54f66dd12ccd097f14a553258
ddpg,96,0,25000,True,4.362873421207951,19.03305845177791,10.336478458954367,14.67018503056996,5.973605037746417,1.0,0.0,1.0,0.0,690.3656052059999,144.8507852156985,700.7780596690001,Tesla T4,37.66845703125,2e6b01873f8d8c8b3b997d8b8d74d4bc8cf586303abc615a05979a7732faf3c4,4e84455d08cacd9f85c432f7838c3be2cb0f000b55edc3487c6dee9520cc0b63,ae3e2c2f7715ce184f98088b8526432e8e36b69c,fc61d5cda7da39530055bae9bd0e92865f995cd9,physical_v6_ddpg_n96_seed0.zip,328decfadc72cfe0535504519365b1d31a91cf93497f4b6d71f1a8142566a36f
ddpg,96,1,5000,True,4.642114204158159,18.86598952505857,18.69091646425111,14.223875320900412,14.048802260092952,1.0,0.156,1.0,0.0,685.800536527,145.81499236850334,695.863655673,Tesla T4,37.66845703125,2e6b01873f8d8c8b3b997d8b8d74d4bc8cf586303abc615a05979a7732faf3c4,4e84455d08cacd9f85c432f7838c3be2cb0f000b55edc3487c6dee9520cc0b63,ae3e2c2f7715ce184f98088b8526432e8e36b69c,fc61d5cda7da39530055bae9bd0e92865f995cd9,physical_v6_ddpg_n96_seed1.zip,c7998ad0a48af47c633d1f98830365aa32d081eebac8b06207b9571e29d18895
ddpg,96,2,10000,True,4.272911816398708,18.246986575712725,8.264112014356147,13.974074759314018,3.991200197957439,1.0,1.0,1.0,0.0,706.5553375239999,141.5317310466192,716.7318087379999,Tesla T4,37.66845703125,2e6b01873f8d8c8b3b997d8b8d74d4bc8cf586303abc615a05979a7732faf3c4,4e84455d08cacd9f85c432f7838c3be2cb0f000b55edc3487c6dee9520cc0b63,ae3e2c2f7715ce184f98088b8526432e8e36b69c,fc61d5cda7da39530055bae9bd0e92865f995cd9,physical_v6_ddpg_n96_seed2.zip,8de35f7d6b9f247d742d572edc68173be5937c923b968b196a14d4978b91648b
ddpg,96,3,15000,True,4.439273151577064,8.491772382185115,3.5698388266683367,4.052499230608051,-0.8694343249087271,1.0,1.0,1.0,0.0,687.8523712210001,145.38003237888236,699.3795013700001,Tesla T4,37.66845703125,2e6b01873f8d8c8b3b997d8b8d74d4bc8cf586303abc615a05979a7732faf3c4,4e84455d08cacd9f85c432f7838c3be2cb0f000b55edc3487c6dee9520cc0b63,ae3e2c2f7715ce184f98088b8526432e8e36b69c,fc61d5cda7da39530055bae9bd0e92865f995cd9,physical_v6_ddpg_n96_seed3.zip,86a828f8d510f3ad3404c00d275263932b15559d405d86908a6b3a7d773bd5a0
ddpg,96,4,5000,True,4.64965663142897,8.35099997910945,13.03016796389177,3.7013433476804796,8.3805113324628,1.0,0.123,1.0,0.0,658.295851626,151.90738290845766,667.685826065,Tesla T4,37.66845703125,2e6b01873f8d8c8b3b997d8b8d74d4bc8cf586303abc615a05979a7732faf3c4,4e84455d08cacd9f85c432f7838c3be2cb0f000b55edc3487c6dee9520cc0b63,ae3e2c2f7715ce184f98088b8526432e8e36b69c,fc61d5cda7da39530055bae9bd0e92865f995cd9,physical_v6_ddpg_n96_seed4.zip,d30763cb35aa89cb4600a3a8c5594d3e1da4117e90b5e1318adb3644b2a8fd7a
