step,reward,environment_reward,sum_rate,qos_fraction,all_qos,violation,qos_dual,qos_violation_ema,qos_dual_updated,exploration_noise,critic_loss,actor_loss,effective_target_noise
1,-0.9969849237373928,-0.9969849237373928,2.0331190272328348,0.25,False,0.30818196591390795,8.0,0.30818196591390795,False,0.0,,,
1000,-6.220787743587422,-6.220787743587422,1.8085104225900985,0.5,False,0.7096916730328673,8.0,0.733046398746803,False,0.0,0.13285328447818756,0.0,0.15
2000,-5.000581539482994,-5.000581539482994,1.7982874939045246,0.25,False,0.592472066812664,8.0,0.6869514608109436,False,0.0,0.15155605971813202,0.0,0.15
3000,5.717288745720815,5.717288745720815,7.759857974202172,0.75,False,0.2108594471202937,11.034644649164882,0.1527322324582441,True,0.1173,0.7314835786819458,0.0,0.15
4000,0.9245055590592006,2.4418278836416416,8.441827883641642,0.75,False,0.5,13.048668274881454,0.1017011812858286,True,0.11639999999999999,0.9671079516410828,0.0,0.15
5000,8.239411639414522,8.239411639414522,8.239411639414522,1.0,True,0.0,16.128060148607712,0.15496959368631297,True,0.11549999999999999,1.594529390335083,0.0,0.15
6000,-6.9059471687612,-1.5910447306466078,5.829590490697605,0.5,False,0.6538955594496927,21.3876351855045,0.2639787518448394,True,0.1146,2.547708749771118,0.0,0.15
7000,11.895554084275002,11.895554084275002,11.895554084275002,1.0,True,0.0,24.16944075008966,0.14009027822925804,True,0.1137,3.891813039779663,0.0,0.15
8000,13.590440257885627,13.590440257885627,13.590440257885627,1.0,True,0.0,27.997008882738793,0.19237840663245662,True,0.1128,3.979851007461548,0.0,0.15
9000,6.769560814009366,6.769560814009366,6.769560814009366,1.0,True,0.0,29.942836379312446,0.09829137482868264,True,0.1119,5.085209846496582,0.0,0.15
10000,4.418935960037029,8.687693921657011,10.478788462006163,0.5,False,0.19453993493952026,34.6800117061837,0.23785876634356254,True,0.111,5.352615833282471,0.0,0.15
11000,6.159283645249748,6.159283645249748,6.159283645249748,1.0,True,0.0,37.2325681568679,0.1286278225342099,True,0.1101,7.8586907386779785,0.0,0.15
12000,-7.887699218724613,6.728584859709336,12.728584859709336,0.75,False,0.5,40.27701668644784,0.15322242647899684,True,0.10919999999999999,6.957245349884033,0.0,0.15
13000,10.862560885503973,10.862560885503973,10.862560885503973,1.0,True,0.0,41.73238149549711,0.07376824045246345,True,0.1083,9.576247215270996,0.0,0.15
14000,9.316087746343259,9.316087746343259,9.316087746343259,1.0,True,0.0,43.13984204643793,0.0713730275470409,True,0.1074,10.765331268310547,0.0,0.15
15000,10.627275383646735,10.627275383646735,10.627275383646735,1.0,True,0.0,44.06121783224444,0.047068789290325576,True,0.1065,8.503615379333496,0.0,0.15
16000,-11.641059778454146,2.7972753730719946,7.28280635685239,0.75,False,0.4003840141698149,46.76300536522285,0.1360893766489207,True,0.1056,8.458358764648438,0.0,0.15
17000,11.275572847478049,11.275572847478049,11.275572847478049,1.0,True,0.0,47.955947294406705,0.060647096459192584,True,0.10469999999999999,13.31576919555664,0.0,0.15
18000,13.43222866870359,13.43222866870359,13.43222866870359,1.0,True,0.0,49.0998155558379,0.058193413071559584,True,0.1038,11.637601852416992,0.0,0.15
19000,4.196707631849131,4.441516940303422,4.489452436146996,0.75,False,0.005956457593384923,50.43918094493355,0.06796826945478225,True,0.10289999999999999,10.96707820892334,0.0,0.15
20000,5.3024235567039515,5.3024235567039515,5.3024235567039515,1.0,True,0.0,51.601728630269506,0.0591273842667979,True,0.102,13.981842041015625,0.0,0.15
21000,10.247530443352188,10.247530443352188,10.247530443352188,1.0,True,0.0,53.22353328503407,0.08209023273822849,True,0.1011,11.055139541625977,0.0,0.15
22000,10.628231498730313,10.628231498730313,10.628231498730313,1.0,True,0.0,54.34768575236837,0.057207623366714803,True,0.1002,10.251386642456055,0.0,0.15
23000,13.25633809474755,13.25633809474755,13.25633809474755,1.0,True,0.0,55.43527458913789,0.055379441838475964,True,0.0993,12.821993827819824,0.0,0.15
24000,6.202395897278494,6.202395897278494,6.202395897278494,1.0,True,0.0,56.408053353282995,0.049638938207255054,True,0.0984,13.919134140014648,0.0,0.15
25000,-3.780907267985696,2.9646788262560095,4.234810116241263,0.75,False,0.13934842711009832,57.5459266724751,0.05789366595960503,True,0.0975,17.110706329345703,0.0,0.15
26000,5.424018736926781,5.424018736926781,5.424018736926781,1.0,True,0.0,58.17270743195719,0.032339037974104916,True,0.09659999999999999,11.648849487304688,0.0,0.15
27000,-30.661433420848294,-0.6638187673902523,6.195933127937932,0.5,False,0.5978871021489116,59.26172687988854,0.05545097239656738,True,0.0957,17.490989685058594,0.0,0.15
28000,12.209971742002095,12.209971742002095,12.209971742002095,1.0,True,0.0,60.35878666444114,0.05585298922762986,True,0.0948,19.445213317871094,0.0,0.15
29000,9.104673094264536,9.104673094264536,9.104673094264536,1.0,True,0.0,61.95755476622563,0.08093840508922431,True,0.0939,17.875823974609375,0.0,0.15
30000,-25.849397076689947,1.129380306422866,7.129380306422866,0.75,False,0.5,62.565951123705915,0.03141981787401428,True,0.093,17.67685317993164,0.0,0.15
